Year,District,Fertilizer CONSUMPTION (tons)
2007,Seoni / Shivani,15762
2008,Seoni / Shivani,15545
2009,Seoni / Shivani,20643
2010,Seoni / Shivani,23658
2011,Seoni / Shivani,25344
2012,Seoni / Shivani,30046
2013,Seoni / Shivani,30145
2014,Seoni / Shivani,33590
2015,Seoni / Shivani,40497
2016,Seoni / Shivani,47029
2017,Seoni / Shivani,63587
1966,Mandla,73
1967,Mandla,147
1968,Mandla,170
1969,Mandla,227
1970,Mandla,174
1971,Mandla,283
1972,Mandla,309
1973,Mandla,471
1974,Mandla,220
1975,Mandla,364
1976,Mandla,470
1977,Mandla,483
1978,Mandla,453
1979,Mandla,289
1980,Mandla,408
1981,Mandla,528
1982,Mandla,462
1983,Mandla,1179
1984,Mandla,1050
1985,Mandla,1215
1986,Mandla,1049
1987,Mandla,1363
1988,Mandla,1795
1989,Mandla,1979
1990,Mandla,2087
1991,Mandla,3003
1992,Mandla,2901
1993,Mandla,2377
1994,Mandla,2836
1995,Mandla,2836
1996,Mandla,2836
1997,Mandla,3813
1998,Mandla,3627
1999,Mandla,3606
2000,Mandla,3975
2001,Mandla,4607
2002,Mandla,4526
2003,Mandla,5502
2004,Mandla,5621
2005,Mandla,5197
2006,Mandla,5972
2007,Mandla,7028
2008,Mandla,8504
2009,Mandla,9045
2010,Mandla,10695
2011,Mandla,11308
2012,Mandla,11107
2013,Mandla,12632
2014,Mandla,16515
2015,Mandla,15603
2016,Mandla,16395
2017,Mandla,15516
1966,Sagar,125
1967,Sagar,136
1968,Sagar,206
1969,Sagar,195
1970,Sagar,550
1971,Sagar,966
1972,Sagar,1384
1973,Sagar,1597
1974,Sagar,1565
1975,Sagar,1370
1976,Sagar,1492
1977,Sagar,1825
1978,Sagar,2225
1979,Sagar,1571
1980,Sagar,2497
1981,Sagar,2709
1982,Sagar,2699
1983,Sagar,4674
1984,Sagar,6204
1985,Sagar,7526
1986,Sagar,7210
1987,Sagar,11616
1988,Sagar,14553
1989,Sagar,12605
1990,Sagar,15412
1991,Sagar,15847
1992,Sagar,11518
1993,Sagar,14395
1994,Sagar,12139
1995,Sagar,12139
1996,Sagar,12139
1997,Sagar,18170
1998,Sagar,24599
1999,Sagar,24784
2000,Sagar,21033
2001,Sagar,20680
2002,Sagar,18158
2003,Sagar,19186
2004,Sagar,22813
2005,Sagar,16994
2006,Sagar,22744
2007,Sagar,21627
2008,Sagar,28464
2009,Sagar,29504
2010,Sagar,34866
2011,Sagar,32963
2012,Sagar,37504
2013,Sagar,33731
2014,Sagar,29455
2015,Sagar,35953
2016,Sagar,34893
2017,Sagar,38415
1966,Damoh,73
1967,Damoh,78
1968,Damoh,109
1969,Damoh,121
1970,Damoh,278
1971,Damoh,579
1972,Damoh,857
1973,Damoh,949
1974,Damoh,877
1975,Damoh,955
1976,Damoh,959
1977,Damoh,1201
1978,Damoh,1143
1979,Damoh,683
1980,Damoh,822
1981,Damoh,891
1982,Damoh,1432
1983,Damoh,1401
1984,Damoh,1484
1985,Damoh,2272
1986,Damoh,2209
1987,Damoh,2452
1988,Damoh,3289
1989,Damoh,4325
1990,Damoh,4446
1991,Damoh,5275
1992,Damoh,5369
1993,Damoh,5211
1994,Damoh,4280
1995,Damoh,4280
1996,Damoh,4280
1997,Damoh,8874
1998,Damoh,11443
1999,Damoh,8011
