Year,District,Fertilizer CONSUMPTION (tons)
1983,Ganganagar,26356
1984,Ganganagar,24952
1985,Ganganagar,26093
1986,Ganganagar,28862
1987,Ganganagar,21710
1988,Ganganagar,30284
1989,Ganganagar,29671
1990,Ganganagar,64996
1991,Ganganagar,61992
1992,Ganganagar,66488
1993,Ganganagar,80810
1994,Ganganagar,98301
1995,Ganganagar,118706
1996,Ganganagar,126818
1997,Ganganagar,140268
1998,Ganganagar,141170
1999,Ganganagar,140105
2000,Ganganagar,122096
2001,Ganganagar,118158
2002,Ganganagar,102489
2003,Ganganagar,122500
2004,Ganganagar,114042
2005,Ganganagar,144235
2006,Ganganagar,128852
2007,Ganganagar,146797
2008,Ganganagar,157463
2009,Ganganagar,162706
2010,Ganganagar,187635
2011,Ganganagar,203582
2012,Ganganagar,184772
2013,Ganganagar,150866
2014,Ganganagar,166156
2015,Ganganagar,202749
2016,Ganganagar,145328
2017,Ganganagar,200793
1966,Jaipur,1159
1967,Jaipur,923
1968,Jaipur,908
1969,Jaipur,1158
1970,Jaipur,2303
1971,Jaipur,2901
1972,Jaipur,2940
1973,Jaipur,4647
1974,Jaipur,2649
1975,Jaipur,3085
1976,Jaipur,5192
1977,Jaipur,6708
1978,Jaipur,4002
1979,Jaipur,3851
1980,Jaipur,3830
1981,Jaipur,4038
1982,Jaipur,4939
1983,Jaipur,6522
1984,Jaipur,6132
1985,Jaipur,6429
1986,Jaipur,6534
1987,Jaipur,4771
1988,Jaipur,6990
1989,Jaipur,7260
1990,Jaipur,19157
1991,Jaipur,24455
1992,Jaipur,28177
1993,Jaipur,33985
1994,Jaipur,39322
1995,Jaipur,46954
1996,Jaipur,52018
1997,Jaipur,53773
1998,Jaipur,62183
1999,Jaipur,66559
2000,Jaipur,55970
2001,Jaipur,60876
2002,Jaipur,56876
2003,Jaipur,68922
2004,Jaipur,71376
2005,Jaipur,83550
2006,Jaipur,85944
2007,Jaipur,68352
2008,Jaipur,82229
2009,Jaipur,85062
2010,Jaipur,96690
2011,Jaipur,95316
2012,Jaipur,91150
2013,Jaipur,82288
2014,Jaipur,99501
2015,Jaipur,108159
2016,Jaipur,95565
2017,Jaipur,84443
1966,Jaisalmer,0
1967,Jaisalmer,6
1968,Jaisalmer,1
1969,Jaisalmer,0
1970,Jaisalmer,0
1971,Jaisalmer,0
1972,Jaisalmer,0
1973,Jaisalmer,0
1974,Jaisalmer,0
1975,Jaisalmer,0
1976,Jaisalmer,27
1977,Jaisalmer,0
1978,Jaisalmer,0
1979,Jaisalmer,0
1980,Jaisalmer,0
1981,Jaisalmer,0
1982,Jaisalmer,0
1983,Jaisalmer,0
1984,Jaisalmer,0
1985,Jaisalmer,0
1986,Jaisalmer,0
1987,Jaisalmer,0
1988,Jaisalmer,0
1989,Jaisalmer,0
1990,Jaisalmer,0
1991,Jaisalmer,0
1992,Jaisalmer,0
1993,Jaisalmer,0
1994,Jaisalmer,0
1995,Jaisalmer,843
1996,Jaisalmer,0
1997,Jaisalmer,0
1998,Jaisalmer,0
1999,Jaisalmer,5562
2000,Jaisalmer,2203
2001,Jaisalmer,3969
2002,Jaisalmer,2697
2003,Jaisalmer,4491
2004,Jaisalmer,3647
2005,Jaisalmer,7035
2006,Jaisalmer,7034
2007,Jaisalmer,11835
2008,Jaisalmer,10228
2009,Jaisalmer,9588
2010,Jaisalmer,14934
2011,Jaisalmer,15602
2012,Jaisalmer,14223
2013,Jaisalmer,14815
2014,Jaisalmer,11829
2015,Jaisalmer,15589
2016,Jaisalmer,13346
2017,Jaisalmer,11110
1966,Jalore,173
1967,Jalore,147
1968,Jalore,238
1969,Jalore,222
1970,Jalore,440
1971,Jalore,385
1972,Jalore,40
1973,Jalore,531
1974,Jalore,540
1975,Jalore,773
1976,Jalore,1685
1977,Jalore,1657
1978,Jalore,2277
1979,Jalore,3150
1980,Jalore,1033
1981,Jalore,2001
1982,Jalore,1851
1983,Jalore,3389
1984,Jalore,3570
1985,Jalore,3064
1986,Jalore,3070
1987,Jalore,3526
1988,Jalore,4440
1989,Jalore,4143
1990,Jalore,4505
1991,Jalore,6092
1992,Jalore,8624
1993,Jalore,9287
1994,Jalore,10842
1995,Jalore,14948
1996,Jalore,12883
1997,Jalore,15793
1998,Jalore,15440
1999,Jalore,16222
2000,Jalore,13034
2001,Jalore,17094
2002,Jalore,18977
2003,Jalore,16425
2004,Jalore,14572
2005,Jalore,17241
2006,Jalore,22276
2007,Jalore,23158
2008,Jalore,23928
2009,Jalore,24516
2010,Jalore,30048
2011,Jalore,35538
2012,Jalore,29342
2013,Jalore,28874
2014,Jalore,30856
2015,Jalore,40944
2016,Jalore,40786
2017,Jalore,37358
1966,Jhalawar,231
1967,Jhalawar,114
1968,Jhalawar,197
1969,Jhalawar,554
1970,Jhalawar,1368
1971,Jhalawar,754
1972,Jhalawar,1236
1973,Jhalawar,1977
1974,Jhalawar,768
1975,Jhalawar,892
1976,Jhalawar,1360
1977,Jhalawar,1325
1978,Jhalawar,1797
1979,Jhalawar,1791
1980,Jhalawar,2645
1981,Jhalawar,2003
1982,Jhalawar,3012
1983,Jhalawar,2504
1984,Jhalawar,3941
1985,Jhalawar,4455
1986,Jhalawar,5104
1987,Jhalawar,6257
1988,Jhalawar,7063
1989,Jhalawar,5791
1990,Jhalawar,8100
1991,Jhalawar,9419
1992,Jhalawar,10503
1993,Jhalawar,13300
1994,Jhalawar,15741
1995,Jhalawar,22237
1996,Jhalawar,25599
1997,Jhalawar,34495
1998,Jhalawar,25841
1999,Jhalawar,37901
2000,Jhalawar,26299
2001,Jhalawar,36319
2002,Jhalawar,18884
2003,Jhalawar,27981
2004,Jhalawar,29707
2005,Jhalawar,27911
2006,Jhalawar,43071
2007,Jhalawar,37554
2008,Jhalawar,38973
2009,Jhalawar,38837
2010,Jhalawar,44911
2011,Jhalawar,54071
2012,Jhalawar,50988
2013,Jhalawar,47478
2014,Jhalawar,50302
2015,Jhalawar,62595
2016,Jhalawar,52835
2017,Jhalawar,44906
1966,Jhunjhunu,92
1967,Jhunjhunu,161
1968,Jhunjhunu,294
1969,Jhunjhunu,319
1970,Jhunjhunu,439
1971,Jhunjhunu,334
1972,Jhunjhunu,466
1973,Jhunjhunu,647
1974,Jhunjhunu,278
1975,Jhunjhunu,499
1976,Jhunjhunu,692
1977,Jhunjhunu,699
1978,Jhunjhunu,1141
1979,Jhunjhunu,1202
1980,Jhunjhunu,1088
1981,Jhunjhunu,974
1982,Jhunjhunu,1783
1983,Jhunjhunu,2200
1984,Jhunjhunu,2069
1985,Jhunjhunu,1703
1986,Jhunjhunu,1969
1987,Jhunjhunu,1594
1988,Jhunjhunu,3522
1989,Jhunjhunu,3617
1990,Jhunjhunu,3790
1991,Jhunjhunu,4537
1992,Jhunjhunu,4657
1993,Jhunjhunu,3556
1994,Jhunjhunu,4273
1995,Jhunjhunu,5611
1996,Jhunjhunu,6511
1997,Jhunjhunu,5749
1998,Jhunjhunu,6088
1999,Jhunjhunu,9792
2000,Jhunjhunu,9176
2001,Jhunjhunu,9281
2002,Jhunjhunu,7002
2003,Jhunjhunu,11906
2004,Jhunjhunu,11181
2005,Jhunjhunu,12830
2006,Jhunjhunu,12165
2007,Jhunjhunu,12973
2008,Jhunjhunu,14676
2009,Jhunjhunu,14372
2010,Jhunjhunu,17215
2011,Jhunjhunu,16255
2012,Jhunjhunu,16605
2013,Jhunjhunu,15748
2014,Jhunjhunu,14592
2015,Jhunjhunu,21946
2016,Jhunjhunu,16568
2017,Jhunjhunu,16350
1966,Jodhpur,221
1967,Jodhpur,188
1968,Jodhpur,101
1969,Jodhpur,209
1970,Jodhpur,1197
1971,Jodhpur,682
1972,Jodhpur,129
1973,Jodhpur,1254
1974,Jodhpur,1303
1975,Jodhpur,997
1976,Jodhpur,1125
1977,Jodhpur,1432
1978,Jodhpur,1735
1979,Jodhpur,1996
1980,Jodhpur,1396
1981,Jodhpur,1622
1982,Jodhpur,2196
1983,Jodhpur,2747
1984,Jodhpur,3140
1985,Jodhpur,2911
1986,Jodhpur,3341
1987,Jodhpur,3060
1988,Jodhpur,4859
1989,Jodhpur,6949
1990,Jodhpur,6992
1991,Jodhpur,8734
1992,Jodhpur,7809
1993,Jodhpur,13430
1994,Jodhpur,17791
1995,Jodhpur,17127
1996,Jodhpur,19886
1997,Jodhpur,23038
1998,Jodhpur,22960
1999,Jodhpur,24527
2000,Jodhpur,18180
2001,Jodhpur,19667
2002,Jodhpur,17158
2003,Jodhpur,22141
2004,Jodhpur,22682
2005,Jodhpur,25514
2006,Jodhpur,26448
2007,Jodhpur,31071
2008,Jodhpur,36919
2009,Jodhpur,34100
2010,Jodhpur,47645
2011,Jodhpur,49164
2012,Jodhpur,43001
2013,Jodhpur,44259
2014,Jodhpur,46133
2015,Jodhpur,55167
2016,Jodhpur,52886
2017,Jodhpur,54514
1966,Kota,991
1967,Kota,2650
1968,Kota,4433
1969,Kota,6119
1970,Kota,9878
1971,Kota,8435
1972,Kota,11719
1973,Kota,12894
1974,Kota,11269
1975,Kota,12425
1976,Kota,13389
1977,Kota,11463
1978,Kota,14489
1979,Kota,15021
1980,Kota,13307
1981,Kota,15831
1982,Kota,16066
1983,Kota,17360
1984,Kota,16687
1985,Kota,19515
1986,Kota,21989
1987,Kota,21714
1988,Kota,26135
1989,Kota,16411
1990,Kota,23556
1991,Kota,39128
1992,Kota,58311
1993,Kota,57915
1994,Kota,68947
1995,Kota,75113
1996,Kota,88065
1997,Kota,106370
1998,Kota,95387
1999,Kota,114455
2000,Kota,88327
2001,Kota,104398
2002,Kota,46917
2003,Kota,97765
2004,Kota,99516
2005,Kota,108847
2006,Kota,111339
2007,Kota,109581
2008,Kota,125271
2009,Kota,125507
2010,Kota,129785
2011,Kota,146255
2012,Kota,143105
2013,Kota,130906
2014,Kota,141865
2015,Kota,176397
2016,Kota,141755
2017,Kota,120776
1966,Nagaur,57
1967,Nagaur,107
1968,Nagaur,96
1969,Nagaur,512
1970,Nagaur,136
1971,Nagaur,266
1972,Nagaur,200
1973,Nagaur,486
1974,Nagaur,462
1975,Nagaur,439
1976,Nagaur,678
1977,Nagaur,799
1978,Nagaur,983
1979,Nagaur,1470
1980,Nagaur,1137
1981,Nagaur,1269
1982,Nagaur,1556
1983,Nagaur,2012
1984,Nagaur,1666
1985,Nagaur,1751
1986,Nagaur,2552
1987,Nagaur,4031
1988,Nagaur,5832
1989,Nagaur,6097
1990,Nagaur,6210
1991,Nagaur,10211
1992,Nagaur,12270
1993,Nagaur,15468
1994,Nagaur,17776
1995,Nagaur,19744
1996,Nagaur,20666
1997,Nagaur,23709
1998,Nagaur,24335
1999,Nagaur,27152
2000,Nagaur,23621
2001,Nagaur,24456
2002,Nagaur,19229
2003,Nagaur,26668
2004,Nagaur,26133
2005,Nagaur,28029
2006,Nagaur,26084
2007,Nagaur,28045
2008,Nagaur,29819
2009,Nagaur,34362
2010,Nagaur,41113
2011,Nagaur,45775
2012,Nagaur,41604
2013,Nagaur,35714
2014,Nagaur,46041
2015,Nagaur,57169
2016,Nagaur,42143
2017,Nagaur,39396
1966,Pali,1484
1967,Pali,1737
1968,Pali,1223
1969,Pali,595
1970,Pali,2074
1971,Pali,877
1972,Pali,138
1973,Pali,1162
1974,Pali,1697
1975,Pali,2864
1976,Pali,4146
1977,Pali,4564
1978,Pali,5137
1979,Pali,7322
1980,Pali,4287
1981,Pali,3240
1982,Pali,6345
1983,Pali,9340
1984,Pali,7354
1985,Pali,4069
1986,Pali,5078
1987,Pali,2879
1988,Pali,5832
1989,Pali,6336
1990,Pali,15015
1991,Pali,12164
1992,Pali,15202
1993,Pali,15654
1994,Pali,18478
1995,Pali,25883
1996,Pali,23149
1997,Pali,28943
1998,Pali,19344
1999,Pali,18546
2000,Pali,9707
2001,Pali,17376
2002,Pali,8027
2003,Pali,13880
2004,Pali,8834
2005,Pali,10730
2006,Pali,20574
2007,Pali,22266
2008,Pali,14475
2009,Pali,10987
2010,Pali,21446
2011,Pali,18469
2012,Pali,23182
2013,Pali,14860
2014,Pali,17529
2015,Pali,24666
2016,Pali,28703
2017,Pali,25471
1966,Swami Madhopur,685
1967,Swami Madhopur,997
1968,Swami Madhopur,1702
1969,Swami Madhopur,2161
1970,Swami Madhopur,1097
1971,Swami Madhopur,2694
1972,Swami Madhopur,4687
1973,Swami Madhopur,3018
1974,Swami Madhopur,1973
1975,Swami Madhopur,3548
1976,Swami Madhopur,4215
1977,Swami Madhopur,4953
1978,Swami Madhopur,5342
1979,Swami Madhopur,6222
1980,Swami Madhopur,7624
1981,Swami Madhopur,8294
1982,Swami Madhopur,10764
1983,Swami Madhopur,12372
1984,Swami Madhopur,13217
1985,Swami Madhopur,13934
1986,Swami Madhopur,12866
1987,Swami Madhopur,11019
1988,Swami Madhopur,17261
1989,Swami Madhopur,10737
1990,Swami Madhopur,24509
1991,Swami Madhopur,26803
1992,Swami Madhopur,18513
1993,Swami Madhopur,20546
1994,Swami Madhopur,26372
1995,Swami Madhopur,34907
1996,Swami Madhopur,33938
1997,Swami Madhopur,44250
1998,Swami Madhopur,40773
1999,Swami Madhopur,49320
2000,Swami Madhopur,36582
2001,Swami Madhopur,41431
2002,Swami Madhopur,28215
2003,Swami Madhopur,43888
2004,Swami Madhopur,41888
2005,Swami Madhopur,47270
2006,Swami Madhopur,42047
2007,Swami Madhopur,45487
2008,Swami Madhopur,54004
2009,Swami Madhopur,54185
2010,Swami Madhopur,62973
2011,Swami Madhopur,67668
2012,Swami Madhopur,68939
2013,Swami Madhopur,65953
2014,Swami Madhopur,69140
2015,Swami Madhopur,98175
2016,Swami Madhopur,93596
2017,Swami Madhopur,52896
1966,Sikar,145
1967,Sikar,263
1968,Sikar,206
1969,Sikar,278
1970,Sikar,265
1971,Sikar,358
1972,Sikar,585
1973,Sikar,652
1974,Sikar,278
1975,Sikar,500
1976,Sikar,689
1977,Sikar,714
1978,Sikar,1188
1979,Sikar,1593
1980,Sikar,1441
1981,Sikar,1292
1982,Sikar,1663
1983,Sikar,1979
1984,Sikar,1964
1985,Sikar,2550
1986,Sikar,2804
1987,Sikar,2095
1988,Sikar,3456
1989,Sikar,3036
1990,Sikar,3859
1991,Sikar,4601
1992,Sikar,5402
1993,Sikar,4342
1994,Sikar,5599
1995,Sikar,9298
1996,Sikar,9427
1997,Sikar,9676
1998,Sikar,9465
1999,Sikar,11548
2000,Sikar,11508
2001,Sikar,11916
2002,Sikar,11385
2003,Sikar,16469
2004,Sikar,14607
2005,Sikar,19490
2006,Sikar,18405
2007,Sikar,16966
2008,Sikar,21366
2009,Sikar,20382
2010,Sikar,28444
2011,Sikar,27240
2012,Sikar,22363
2013,Sikar,21394
2014,Sikar,22780
2015,Sikar,25935
2016,Sikar,21658
2017,Sikar,21123
1966,Sirohi,439
1967,Sirohi,555
1968,Sirohi,310
1969,Sirohi,477
1970,Sirohi,674
1971,Sirohi,793
1972,Sirohi,130
1973,Sirohi,793
1974,Sirohi,522
1975,Sirohi,591
1976,Sirohi,847
1977,Sirohi,1312
1978,Sirohi,1486
1979,Sirohi,1917
1980,Sirohi,1408
1981,Sirohi,1327
1982,Sirohi,1356
1983,Sirohi,2045
1984,Sirohi,2335
1985,Sirohi,1763
1986,Sirohi,1815
1987,Sirohi,1318
1988,Sirohi,2161
1989,Sirohi,2479
1990,Sirohi,4131
1991,Sirohi,4419
1992,Sirohi,6998
1993,Sirohi,7941
1994,Sirohi,9433
1995,Sirohi,9609
1996,Sirohi,7328
1997,Sirohi,10118
1998,Sirohi,8953
1999,Sirohi,6653
2000,Sirohi,6063
2001,Sirohi,7274
2002,Sirohi,5092
2003,Sirohi,9773
2004,Sirohi,6721
2005,Sirohi,9596
2006,Sirohi,14498
2007,Sirohi,15000
2008,Sirohi,13210
2009,Sirohi,9638
2010,Sirohi,17998
2011,Sirohi,18741
2012,Sirohi,18206
2013,Sirohi,16566
2014,Sirohi,16438
2015,Sirohi,19015
2016,Sirohi,20426
2017,Sirohi,19240
1966,Tonk,210
1967,Tonk,331
1968,Tonk,178
1969,Tonk,1224
1970,Tonk,317
1971,Tonk,1003
1972,Tonk,515
1973,Tonk,905
1974,Tonk,757
1975,Tonk,938
1976,Tonk,1255
1977,Tonk,1327
1978,Tonk,1448
1979,Tonk,1758
1980,Tonk,1574
1981,Tonk,1755
1982,Tonk,2156
1983,Tonk,2751
1984,Tonk,3072
1985,Tonk,3102
1986,Tonk,3673
1987,Tonk,3497
1988,Tonk,5684
1989,Tonk,4475
1990,Tonk,4872
1991,Tonk,7188
1992,Tonk,9019
1993,Tonk,8874
1994,Tonk,10636
1995,Tonk,14668
1996,Tonk,15090
1997,Tonk,18810
1998,Tonk,18419
1999,Tonk,23660
2000,Tonk,17226
2001,Tonk,20628
2002,Tonk,9801
2003,Tonk,19416
2004,Tonk,25447
2005,Tonk,29456
2006,Tonk,30462
2007,Tonk,30948
2008,Tonk,30888
2009,Tonk,25911
2010,Tonk,44649
2011,Tonk,47366
2012,Tonk,46693
2013,Tonk,48614
2014,Tonk,42695
2015,Tonk,41655
2016,Tonk,44419
2017,Tonk,32707
1966,Udaipur,519
1967,Udaipur,1173
1968,Udaipur,952
1969,Udaipur,1617
1970,Udaipur,2671
1971,Udaipur,2297
1972,Udaipur,1032
1973,Udaipur,2481
1974,Udaipur,1756
1975,Udaipur,2581
1976,Udaipur,3443
1977,Udaipur,2450
1978,Udaipur,2077
1979,Udaipur,1765
1980,Udaipur,1905
1981,Udaipur,1571
1982,Udaipur,1658
1983,Udaipur,3494
1984,Udaipur,3090
1985,Udaipur,2847
1986,Udaipur,2549
1987,Udaipur,1547
1988,Udaipur,3515
1989,Udaipur,3310
1990,Udaipur,5089
1991,Udaipur,12189
1992,Udaipur,15790
1993,Udaipur,16539
1994,Udaipur,18555
1995,Udaipur,21620
1996,Udaipur,19689
1997,Udaipur,23977
1998,Udaipur,15172
1999,Udaipur,14992
2000,Udaipur,11199
2001,Udaipur,20793
2002,Udaipur,11000
2003,Udaipur,17023
2004,Udaipur,17082
2005,Udaipur,23281
2006,Udaipur,30781
2007,Udaipur,32912
2008,Udaipur,30798
2009,Udaipur,34459
2010,Udaipur,52109
2011,Udaipur,51160
2012,Udaipur,59810
2013,Udaipur,44495
2014,Udaipur,58857
2015,Udaipur,64042
2016,Udaipur,60998
2017,Udaipur,47486
1966,Gurdaspur,2588
1967,Gurdaspur,6911
1968,Gurdaspur,10669
1969,Gurdaspur,11348
1970,Gurdaspur,14906
1971,Gurdaspur,19038
1972,Gurdaspur,20998
1973,Gurdaspur,22594
1974,Gurdaspur,13412
1975,Gurdaspur,16939
1976,Gurdaspur,23793
1977,Gurdaspur,30648
1978,Gurdaspur,37501
1979,Gurdaspur,44355
1980,Gurdaspur,53237
1981,Gurdaspur,58555
1982,Gurdaspur,70861
1983,Gurdaspur,75738
1984,Gurdaspur,82310
1985,Gurdaspur,82922
1986,Gurdaspur,86484
1987,Gurdaspur,88051
1988,Gurdaspur,88250
1989,Gurdaspur,90570
1990,Gurdaspur,87534
1991,Gurdaspur,88108
1992,Gurdaspur,77162
1993,Gurdaspur,77096
1994,Gurdaspur,81371
1995,Gurdaspur,84113
1996,Gurdaspur,80683
1997,Gurdaspur,84000
1998,Gurdaspur,79745
1999,Gurdaspur,82381
2000,Gurdaspur,80574
2001,Gurdaspur,76536
2002,Gurdaspur,88292
2003,Gurdaspur,85313
2004,Gurdaspur,76908
2005,Gurdaspur,90656
2006,Gurdaspur,107353
2007,Gurdaspur,107668
2008,Gurdaspur,105117
2009,Gurdaspur,110389
2010,Gurdaspur,112926
2011,Gurdaspur,113645
2012,Gurdaspur,116641
2013,Gurdaspur,104271
2014,Gurdaspur,104529
2015,Gurdaspur,118252
2016,Gurdaspur,114201
2017,Gurdaspur,106766
1966,Amritsar,4577
1967,Amritsar,11180
1968,Amritsar,19806
1969,Amritsar,24229
1970,Amritsar,28918
1971,Amritsar,33274
1972,Amritsar,36690
1973,Amritsar,39768
1974,Amritsar,27834
1975,Amritsar,32545
1976,Amritsar,43321
1977,Amritsar,54098
1978,Amritsar,64873
1979,Amritsar,75649
1980,Amritsar,75407
1981,Amritsar,79563
1982,Amritsar,93103
1983,Amritsar,101404
1984,Amritsar,110667
1985,Amritsar,115867
1986,Amritsar,121806
1987,Amritsar,116492
1988,Amritsar,121924
1989,Amritsar,127632
1990,Amritsar,129901
1991,Amritsar,133901
1992,Amritsar,126874
1993,Amritsar,123709
1994,Amritsar,120661
1995,Amritsar,121775
1996,Amritsar,116135
1997,Amritsar,124000
1998,Amritsar,130326
1999,Amritsar,146249
2000,Amritsar,156841
2001,Amritsar,142305
2002,Amritsar,149768
2003,Amritsar,136415
2004,Amritsar,144876
2005,Amritsar,162248
2006,Amritsar,185163
2007,Amritsar,188059
2008,Amritsar,164924
2009,Amritsar,171241
2010,Amritsar,183541
2011,Amritsar,192178
2012,Amritsar,196643
2013,Amritsar,169655
2014,Amritsar,184885
2015,Amritsar,204615
2016,Amritsar,195192
2017,Amritsar,180322
1966,Kapurthala,2210
1967,Kapurthala,3880
1968,Kapurthala,5825
1969,Kapurthala,5594
1970,Kapurthala,7280
1971,Kapurthala,11294
1972,Kapurthala,12661
1973,Kapurthala,12431
1974,Kapurthala,8945
1975,Kapurthala,11602
1976,Kapurthala,16659
1977,Kapurthala,21716
1978,Kapurthala,26773
1979,Kapurthala,31829
1980,Kapurthala,36445
1981,Kapurthala,39118
1982,Kapurthala,42812
1983,Kapurthala,42036
1984,Kapurthala,39873
1985,Kapurthala,38053
1986,Kapurthala,45102
1987,Kapurthala,49695
1988,Kapurthala,45117
1989,Kapurthala,47861
1990,Kapurthala,46662
1991,Kapurthala,47774
1992,Kapurthala,40967
1993,Kapurthala,41685
1994,Kapurthala,45915
1995,Kapurthala,39648
1996,Kapurthala,43186
1997,Kapurthala,36000
1998,Kapurthala,37514
1999,Kapurthala,47128
2000,Kapurthala,44561
2001,Kapurthala,47127
2002,Kapurthala,63504
2003,Kapurthala,60434
2004,Kapurthala,41450
2005,Kapurthala,54726
2006,Kapurthala,55405
2007,Kapurthala,55433
2008,Kapurthala,57474
2009,Kapurthala,67314
2010,Kapurthala,65662
2011,Kapurthala,65113
2012,Kapurthala,69856
2013,Kapurthala,58369
2014,Kapurthala,59137
2015,Kapurthala,64446
2016,Kapurthala,59710
2017,Kapurthala,52275
1966,Jalandhar,6504
1967,Jalandhar,13582
1968,Jalandhar,20178
1969,Jalandhar,17634
1970,Jalandhar,23305
1971,Jalandhar,31000
1972,Jalandhar,34756
1973,Jalandhar,38331
1974,Jalandhar,27729
1975,Jalandhar,32720
1976,Jalandhar,38813
1977,Jalandhar,44906
1978,Jalandhar,50999
1979,Jalandhar,57091
1980,Jalandhar,65655
1981,Jalandhar,64117
1982,Jalandhar,63046
1983,Jalandhar,64762
1984,Jalandhar,71497
1985,Jalandhar,77409
1986,Jalandhar,74432
1987,Jalandhar,83282
1988,Jalandhar,79657
1989,Jalandhar,77132
1990,Jalandhar,87798
1991,Jalandhar,91430
1992,Jalandhar,81672
1993,Jalandhar,90845
1994,Jalandhar,97923
1995,Jalandhar,94038
1996,Jalandhar,86220
1997,Jalandhar,103300
1998,Jalandhar,111841
1999,Jalandhar,100584
2000,Jalandhar,85892
2001,Jalandhar,95729
2002,Jalandhar,112532
2003,Jalandhar,122034
2004,Jalandhar,114236
2005,Jalandhar,126339
2006,Jalandhar,122328
2007,Jalandhar,121975
2008,Jalandhar,130575
2009,Jalandhar,144593
2010,Jalandhar,146070
2011,Jalandhar,143441
2012,Jalandhar,149265
2013,Jalandhar,116718
2014,Jalandhar,128037
2015,Jalandhar,138329
2016,Jalandhar,130370
2017,Jalandhar,118400
1966,Hoshiarpur,3624
1967,Hoshiarpur,7609
1968,Hoshiarpur,10350
1969,Hoshiarpur,8609
1970,Hoshiarpur,9914
1971,Hoshiarpur,12155
1972,Hoshiarpur,13674
1973,Hoshiarpur,15417
1974,Hoshiarpur,10436
1975,Hoshiarpur,12662
1976,Hoshiarpur,16391
1977,Hoshiarpur,20121
1978,Hoshiarpur,23850
1979,Hoshiarpur,27579
1980,Hoshiarpur,26168
1981,Hoshiarpur,27221
1982,Hoshiarpur,27114
1983,Hoshiarpur,30623
1984,Hoshiarpur,31857
1985,Hoshiarpur,34502
1986,Hoshiarpur,37579
1987,Hoshiarpur,36601
1988,Hoshiarpur,37241
1989,Hoshiarpur,42646
1990,Hoshiarpur,41880
1991,Hoshiarpur,43616
1992,Hoshiarpur,36676
1993,Hoshiarpur,40593
1994,Hoshiarpur,44145
1995,Hoshiarpur,40989
1996,Hoshiarpur,46416
1997,Hoshiarpur,57700
1998,Hoshiarpur,56356
1999,Hoshiarpur,59284
2000,Hoshiarpur,39592
2001,Hoshiarpur,52363
2002,Hoshiarpur,59597
2003,Hoshiarpur,87726
2004,Hoshiarpur,63853
2005,Hoshiarpur,84269
2006,Hoshiarpur,77825
2007,Hoshiarpur,77549
2008,Hoshiarpur,76458
2009,Hoshiarpur,83637
2010,Hoshiarpur,84986
2011,Hoshiarpur,84348
2012,Hoshiarpur,82342
2013,Hoshiarpur,89648
2014,Hoshiarpur,91203
2015,Hoshiarpur,96103
2016,Hoshiarpur,90800
2017,Hoshiarpur,80465
1966,Roopnagar / Ropar,-1
1967,Roopnagar / Ropar,-1
1968,Roopnagar / Ropar,-1
1969,Roopnagar / Ropar,-1
1970,Roopnagar / Ropar,-1
1971,Roopnagar / Ropar,-1
1972,Roopnagar / Ropar,-1
1973,Roopnagar / Ropar,8429
1974,Roopnagar / Ropar,6773
1975,Roopnagar / Ropar,6205
1976,Roopnagar / Ropar,7998
1977,Roopnagar / Ropar,10653
1978,Roopnagar / Ropar,11242
1979,Roopnagar / Ropar,14413
1980,Roopnagar / Ropar,14232
1981,Roopnagar / Ropar,18017
1982,Roopnagar / Ropar,19611
1983,Roopnagar / Ropar,22455
1984,Roopnagar / Ropar,24727
1985,Roopnagar / Ropar,29046
1986,Roopnagar / Ropar,28802
1987,Roopnagar / Ropar,31257
1988,Roopnagar / Ropar,31806
1989,Roopnagar / Ropar,33715
1990,Roopnagar / Ropar,34454
1991,Roopnagar / Ropar,34616
1992,Roopnagar / Ropar,30803
1993,Roopnagar / Ropar,30495
1994,Roopnagar / Ropar,37169
1995,Roopnagar / Ropar,35658
1996,Roopnagar / Ropar,32457
1997,Roopnagar / Ropar,41000
1998,Roopnagar / Ropar,32764
1999,Roopnagar / Ropar,29140
2000,Roopnagar / Ropar,26089
2001,Roopnagar / Ropar,61627
2002,Roopnagar / Ropar,35688
2003,Roopnagar / Ropar,51206
2004,Roopnagar / Ropar,44667
2005,Roopnagar / Ropar,51483
2006,Roopnagar / Ropar,48853
2007,Roopnagar / Ropar,48151
2008,Roopnagar / Ropar,33150
2009,Roopnagar / Ropar,36294
2010,Roopnagar / Ropar,41876
2011,Roopnagar / Ropar,41461
2012,Roopnagar / Ropar,49584
2013,Roopnagar / Ropar,43001
2014,Roopnagar / Ropar,51980
2015,Roopnagar / Ropar,56872
2016,Roopnagar / Ropar,50839
2017,Roopnagar / Ropar,39687
1966,Ludhiana,10349
1967,Ludhiana,17112
1968,Ludhiana,29837
1969,Ludhiana,24819
1970,Ludhiana,32449
1971,Ludhiana,41755
1972,Ludhiana,48047
1973,Ludhiana,45350
1974,Ludhiana,33599
1975,Ludhiana,43088
1976,Ludhiana,64270
1977,Ludhiana,85451
1978,Ludhiana,106632
1979,Ludhiana,127813
1980,Ludhiana,87574
1981,Ludhiana,88326
1982,Ludhiana,103074
1983,Ludhiana,117262
1984,Ludhiana,117959
1985,Ludhiana,128960
1986,Ludhiana,132005
1987,Ludhiana,137104
1988,Ludhiana,135416
1989,Ludhiana,138942
1990,Ludhiana,143642
