Year,State,District,RICE YIELD (Kg per ha),RICE IRRIGATED AREA (1000 ha),RABI SORGHUM YIELD (Kg per ha),RABI SORGHUM IRRIGATED AREA (1000 ha),SORGHUM YIELD (Kg per ha),SORGHUM IRRIGATED AREA (1000 ha),SUGARCANE YIELD (Kg per ha),SUGARCANE IRRIGATED AREA (1000 ha),COTTON YIELD (Kg per ha),COTTON IRRIGATED AREA (1000 ha),Zn %,Fe%,Cu %,Mn %,B %,S %
2017,Maharashtra,Kolhapur,3054.2,0,1515.87,0,1582.86,0,10269.97,0,166.15,0,70.47,60.66,98.55,90.92,56.45,61.83
1966,Maharashtra,Aurangabad,200,1.5,705.64,22.7,624.87,23.1,6129.41,8,65.36,5.7,98.48,98.59,99,98.54,0.43,0.37
1966,Maharashtra,Aurangabad,200,1.5,705.64,22.7,624.87,23.1,6129.41,8,65.36,5.7,28.16,17.04,98.49,86.72,41.61,93.8
1967,Maharashtra,Aurangabad,400,1.5,543.56,23.8,537.31,27.2,5696,8,80.81,5.7,98.48,98.59,99,98.54,0.43,0.37
1967,Maharashtra,Aurangabad,400,1.5,543.56,23.8,537.31,27.2,5696,8,80.81,5.7,28.16,17.04,98.49,86.72,41.61,93.8
1968,Maharashtra,Aurangabad,555.56,2.1,388.52,22.5,414.89,28.5,6594.59,11.1,83.74,9,98.48,98.59,99,98.54,0.43,0.37
1968,Maharashtra,Aurangabad,555.56,2.1,388.52,22.5,414.89,28.5,6594.59,11.1,83.74,9,28.16,17.04,98.49,86.72,41.61,93.8
1969,Maharashtra,Aurangabad,528.3,1.9,484.02,26.3,447.55,33.2,7217.39,11.5,90.18,14.5,98.48,98.59,99,98.54,0.43,0.37
1969,Maharashtra,Aurangabad,528.3,1.9,484.02,26.3,447.55,33.2,7217.39,11.5,90.18,14.5,28.16,17.04,98.49,86.72,41.61,93.8
1970,Maharashtra,Aurangabad,500,1.3,254.87,9.1,265.6,16.7,6173.47,9.8,25.17,7.2,98.48,98.59,99,98.54,0.43,0.37
1970,Maharashtra,Aurangabad,500,1.3,254.87,9.1,265.6,16.7,6173.47,9.8,25.17,7.2,28.16,17.04,98.49,86.72,41.61,93.8
1971,Maharashtra,Aurangabad,297.3,1.9,227.43,26.5,220.58,27.7,6557.14,7,72.33,11.3,98.48,98.59,99,98.54,0.43,0.37
1971,Maharashtra,Aurangabad,297.3,1.9,227.43,26.5,220.58,27.7,6557.14,7,72.33,11.3,28.16,17.04,98.49,86.72,41.61,93.8
1972,Maharashtra,Aurangabad,54.05,1.9,87.81,11,116.01,13.1,6087.5,8,39.94,6.9,98.48,98.59,99,98.54,0.43,0.37
1972,Maharashtra,Aurangabad,54.05,1.9,87.81,11,116.01,13.1,6087.5,8,39.94,6.9,28.16,17.04,98.49,86.72,41.61,93.8
1973,Maharashtra,Aurangabad,584.91,1.2,468.67,22.1,432.38,23.8,6428.57,9.8,75.18,5,98.48,98.59,99,98.54,0.43,0.37
1973,Maharashtra,Aurangabad,584.91,1.2,468.67,22.1,432.38,23.8,6428.57,9.8,75.18,5,28.16,17.04,98.49,86.72,41.61,93.8
1974,Maharashtra,Aurangabad,438.6,1.9,466.63,39,487.47,40.6,7109.38,12.8,131.04,7.5,98.48,98.59,99,98.54,0.43,0.37
1974,Maharashtra,Aurangabad,438.6,1.9,466.63,39,487.47,40.6,7109.38,12.8,131.04,7.5,28.16,17.04,98.49,86.72,41.61,93.8
1975,Maharashtra,Aurangabad,876.92,1.2,489.87,41.1,537.8,44.6,7935.25,13.9,57.2,7.5,98.48,98.59,99,98.54,0.43,0.37
1975,Maharashtra,Aurangabad,876.92,1.2,489.87,41.1,537.8,44.6,7935.25,13.9,57.2,7.5,28.16,17.04,98.49,86.72,41.61,93.8
1976,Maharashtra,Aurangabad,870.13,1.8,491.22,41.5,637.11,50.8,6310.53,19,70.69,7,98.48,98.59,99,98.54,0.43,0.37
1976,Maharashtra,Aurangabad,870.13,1.8,491.22,41.5,637.11,50.8,6310.53,19,70.69,7,28.16,17.04,98.49,86.72,41.61,93.8
1977,Maharashtra,Aurangabad,1166.67,2.2,503.24,43.9,700.25,52.7,6195.12,20.5,98.2,7.3,98.48,98.59,99,98.54,0.43,0.37
1977,Maharashtra,Aurangabad,1166.67,2.2,503.24,43.9,700.25,52.7,6195.12,20.5,98.2,7.3,28.16,17.04,98.49,86.72,41.61,93.8
1978,Maharashtra,Aurangabad,1410.96,1.7,563.25,44.6,685.69,53,7835.05,19.4,121.09,9.5,98.48,98.59,99,98.54,0.43,0.37
1978,Maharashtra,Aurangabad,1410.96,1.7,563.25,44.6,685.69,53,7835.05,19.4,121.09,9.5,28.16,17.04,98.49,86.72,41.61,93.8
1979,Maharashtra,Aurangabad,662.79,1.5,634.04,43.5,740.69,51.6,8463.77,18.4,137.12,10.7,98.48,98.59,99,98.54,0.43,0.37
1979,Maharashtra,Aurangabad,662.79,1.5,634.04,43.5,740.69,51.6,8463.77,18.4,137.12,10.7,28.16,17.04,98.49,86.72,41.61,93.8
1980,Maharashtra,Aurangabad,1081.4,2.5,446.34,44.1,594.95,52,8742.14,20.3,99.46,11.1,98.48,98.59,99,98.54,0.43,0.37
1980,Maharashtra,Aurangabad,1081.4,2.5,446.34,44.1,594.95,52,8742.14,20.3,99.46,11.1,28.16,17.04,98.49,86.72,41.61,93.8
1981,Maharashtra,Aurangabad,1010.87,2,575.94,47.6,732.03,55.7,9252.69,22,113.27,7.9,98.48,98.59,99,98.54,0.43,0.37
1981,Maharashtra,Aurangabad,1010.87,2,575.94,47.6,732.03,55.7,9252.69,22,113.27,7.9,28.16,17.04,98.49,86.72,41.61,93.8
1982,Maharashtra,Aurangabad,576.47,2.6,426.14,21.3,568.25,24,8941.91,30.5,126.74,13.6,98.48,98.59,99,98.54,0.43,0.37
1982,Maharashtra,Aurangabad,576.47,2.6,426.14,21.3,568.25,24,8941.91,30.5,126.74,13.6,28.16,17.04,98.49,86.72,41.61,93.8
1983,Maharashtra,Aurangabad,823.53,2.8,397.44,22.9,589.99,25.9,8414.2,27.1,63.1,19.7,98.48,98.59,99,98.54,0.43,0.37
1983,Maharashtra,Aurangabad,823.53,2.8,397.44,22.9,589.99,25.9,8414.2,27.1,63.1,19.7,28.16,17.04,98.49,86.72,41.61,93.8
1984,Maharashtra,Aurangabad,555.56,2.6,284.48,22.1,380.31,25,10041.67,26.2,147.69,20,98.48,98.59,99,98.54,0.43,0.37
1984,Maharashtra,Aurangabad,555.56,2.6,284.48,22.1,380.31,25,10041.67,26.2,147.69,20,28.16,17.04,98.49,86.72,41.61,93.8
1985,Maharashtra,Aurangabad,492.31,2.5,299.43,22.4,366.18,25.4,9506.76,31,151.8,20.3,98.48,98.59,99,98.54,0.43,0.37
1985,Maharashtra,Aurangabad,492.31,2.5,299.43,22.4,366.18,25.4,9506.76,31,151.8,20.3,28.16,17.04,98.49,86.72,41.61,93.8
1986,Maharashtra,Aurangabad,333.33,2.8,252.98,23,457.99,26.3,8906.54,25.2,68.18,19.8,98.48,98.59,99,98.54,0.43,0.37
1986,Maharashtra,Aurangabad,333.33,2.8,252.98,23,457.99,26.3,8906.54,25.2,68.18,19.8,28.16,17.04,98.49,86.72,41.61,93.8
1987,Maharashtra,Aurangabad,400,0.5,653.06,36.2,787.21,36.2,9503.07,20.5,136.09,3.2,98.48,98.59,99,98.54,0.43,0.37
1987,Maharashtra,Aurangabad,400,0.5,653.06,36.2,787.21,36.2,9503.07,20.5,136.09,3.2,28.16,17.04,98.49,86.72,41.61,93.8
1988,Maharashtra,Aurangabad,600,0.4,561.24,58,593.1,58.5,9013.7,28,119.8,13.4,98.48,98.59,99,98.54,0.43,0.37
1988,Maharashtra,Aurangabad,600,0.4,561.24,58,593.1,58.5,9013.7,28,119.8,13.4,28.16,17.04,98.49,86.72,41.61,93.8
1989,Maharashtra,Aurangabad,826.92,0.2,736.67,67.4,885.06,67.6,9129.21,44.2,147.83,15.9,98.48,98.59,99,98.54,0.43,0.37
1989,Maharashtra,Aurangabad,826.92,0.2,736.67,67.4,885.06,67.6,9129.21,44.2,147.83,15.9,28.16,17.04,98.49,86.72,41.61,93.8
1990,Maharashtra,Aurangabad,711.11,2,675.99,23.6,788.02,24.9,8585.5,49.7,143.14,34,98.48,98.59,99,98.54,0.43,0.37
1990,Maharashtra,Aurangabad,711.11,2,675.99,23.6,788.02,24.9,8585.5,49.7,143.14,34,28.16,17.04,98.49,86.72,41.61,93.8
1991,Maharashtra,Aurangabad,319.15,2.1,434.23,33.2,523.31,34.8,6377.97,51.8,71.8,22,98.48,98.59,99,98.54,0.43,0.37
1991,Maharashtra,Aurangabad,319.15,2.1,434.23,33.2,523.31,34.8,6377.97,51.8,71.8,22,28.16,17.04,98.49,86.72,41.61,93.8
1992,Maharashtra,Aurangabad,694.44,2.6,723.55,48.4,964.48,50.1,6377.37,44,128.65,35.8,98.48,98.59,99,98.54,0.43,0.37
1992,Maharashtra,Aurangabad,694.44,2.6,723.55,48.4,964.48,50.1,6377.37,44,128.65,35.8,28.16,17.04,98.49,86.72,41.61,93.8
1993,Maharashtra,Aurangabad,736.84,0,690.49,62.1,839.99,62.1,7511.49,35.4,145.02,17.8,98.48,98.59,99,98.54,0.43,0.37
1993,Maharashtra,Aurangabad,736.84,0,690.49,62.1,839.99,62.1,7511.49,35.4,145.02,17.8,28.16,17.04,98.49,86.72,41.61,93.8
1994,Maharashtra,Aurangabad,711.11,1.6,631.38,66,745,66.2,8056.88,59.1,158.87,42.1,98.48,98.59,99,98.54,0.43,0.37
1994,Maharashtra,Aurangabad,711.11,1.6,631.38,66,745,66.2,8056.88,59.1,158.87,42.1,28.16,17.04,98.49,86.72,41.61,93.8
1995,Maharashtra,Aurangabad,419.35,0.1,596.26,36.8,681.7,37.2,6815.34,57.1,122.54,17.3,98.48,98.59,99,98.54,0.43,0.37
1995,Maharashtra,Aurangabad,419.35,0.1,596.26,36.8,681.7,37.2,6815.34,57.1,122.54,17.3,28.16,17.04,98.49,86.72,41.61,93.8
1996,Maharashtra,Aurangabad,750,0.1,699.11,46.4,893.34,46.7,6864.07,31.3,159.18,14,98.48,98.59,99,98.54,0.43,0.37
1996,Maharashtra,Aurangabad,750,0.1,699.11,46.4,893.34,46.7,6864.07,31.3,159.18,14,28.16,17.04,98.49,86.72,41.61,93.8
1997,Maharashtra,Aurangabad,1285.71,1.3,506.78,63.9,600.43,64,9839.62,23.9,107.32,57.8,98.48,98.59,99,98.54,0.43,0.37
1997,Maharashtra,Aurangabad,1285.71,1.3,506.78,63.9,600.43,64,9839.62,23.9,107.32,57.8,28.16,17.04,98.49,86.72,41.61,93.8
1998,Maharashtra,Aurangabad,434.78,1.3,691.92,62.6,805.04,62.9,8560.44,27.2,173.51,57.7,98.48,98.59,99,98.54,0.43,0.37
1998,Maharashtra,Aurangabad,434.78,1.3,691.92,62.6,805.04,62.9,8560.44,27.2,173.51,57.7,28.16,17.04,98.49,86.72,41.61,93.8
1999,Maharashtra,Aurangabad,500,1,812.58,58.5,869.4,58.7,7515.96,35.1,121.01,54.9,98.48,98.59,99,98.54,0.43,0.37
1999,Maharashtra,Aurangabad,500,1,812.58,58.5,869.4,58.7,7515.96,35.1,121.01,54.9,28.16,17.04,98.49,86.72,41.61,93.8
2000,Maharashtra,Aurangabad,611.11,0,630.89,52,675.5,52,7333.14,36.8,93.46,9.6,98.48,98.59,99,98.54,0.43,0.37
2000,Maharashtra,Aurangabad,611.11,0,630.89,52,675.5,52,7333.14,36.8,93.46,9.6,28.16,17.04,98.49,86.72,41.61,93.8
2001,Maharashtra,Aurangabad,636.36,0,718.66,48.5,768.75,48.5,5733.48,25.9,156.58,36.5,98.48,98.59,99,98.54,0.43,0.37
2001,Maharashtra,Aurangabad,636.36,0,718.66,48.5,768.75,48.5,5733.48,25.9,156.58,36.5,28.16,17.04,98.49,86.72,41.61,93.8
2002,Maharashtra,Aurangabad,250,1.1,748.35,48.9,826.05,49,6632.14,30.5,167.05,14.4,98.48,98.59,99,98.54,0.43,0.37
2002,Maharashtra,Aurangabad,250,1.1,748.35,48.9,826.05,49,6632.14,30.5,167.05,14.4,28.16,17.04,98.49,86.72,41.61,93.8
2003,Maharashtra,Aurangabad,384.62,0,433.9,27.2,519.9,27.2,4566.88,0,160.85,16.7,98.48,98.59,99,98.54,0.43,0.37
2003,Maharashtra,Aurangabad,384.62,0,433.9,27.2,519.9,27.2,4566.88,0,160.85,16.7,28.16,17.04,98.49,86.72,41.61,93.8
2004,Maharashtra,Aurangabad,500,0,688.94,25.8,717.71,25.8,7868.18,12.6,208.21,16.9,98.48,98.59,99,98.54,0.43,0.37
2004,Maharashtra,Aurangabad,500,0,688.94,25.8,717.71,25.8,7868.18,12.6,208.21,16.9,28.16,17.04,98.49,86.72,41.61,93.8
2005,Maharashtra,Aurangabad,1000,0,798.24,27.6,835.52,27.6,6525.71,0,216.28,19.5,98.48,98.59,99,98.54,0.43,0.37
2005,Maharashtra,Aurangabad,1000,0,798.24,27.6,835.52,27.6,6525.71,0,216.28,19.5,28.16,17.04,98.49,86.72,41.61,93.8
2006,Maharashtra,Aurangabad,1000,0,1012.45,28.5,1041.88,28.5,8927.64,0,330.17,21.3,98.48,98.59,99,98.54,0.43,0.37
2006,Maharashtra,Aurangabad,1000,0,1012.45,28.5,1041.88,28.5,8927.64,0,330.17,21.3,28.16,17.04,98.49,86.72,41.61,93.8
2007,Maharashtra,Aurangabad,0,0,1058.73,25.2,1076.35,25.2,7765.82,0,396.83,25,98.48,98.59,99,98.54,0.43,0.37
2007,Maharashtra,Aurangabad,0,0,1058.73,25.2,1076.35,25.2,7765.82,0,396.83,25,28.16,17.04,98.49,86.72,41.61,93.8
2008,Maharashtra,Aurangabad,0,0,931.26,27.2,937.65,27.2,7303.69,0,259.88,28.2,98.48,98.59,99,98.54,0.43,0.37
2008,Maharashtra,Aurangabad,0,0,931.26,27.2,937.65,27.2,7303.69,0,259.88,28.2,28.16,17.04,98.49,86.72,41.61,93.8
2009,Maharashtra,Aurangabad,0,0,1064.53,0,1076.24,0,8956.6,0,301.24,0,98.48,98.59,99,98.54,0.43,0.37
2009,Maharashtra,Aurangabad,0,0,1064.53,0,1076.24,0,8956.6,0,301.24,0,28.16,17.04,98.49,86.72,41.61,93.8
2010,Maharashtra,Aurangabad,2000,0,764.49,0,815.62,0,7399.53,0,442.47,0,98.48,98.59,99,98.54,0.43,0.37
2010,Maharashtra,Aurangabad,2000,0,764.49,0,815.62,0,7399.53,0,442.47,0,28.16,17.04,98.49,86.72,41.61,93.8
2011,Maharashtra,Aurangabad,0,0,745.69,0,791.72,0,7761.86,0,303.12,0,98.48,98.59,99,98.54,0.43,0.37
2011,Maharashtra,Aurangabad,0,0,745.69,0,791.72,0,7761.86,0,303.12,0,28.16,17.04,98.49,86.72,41.61,93.8
2012,Maharashtra,Aurangabad,0,0,480.46,0,248.89,0,5193.84,0,144.65,0,98.48,98.59,99,98.54,0.43,0.37
2012,Maharashtra,Aurangabad,0,0,480.46,0,248.89,0,5193.84,0,144.65,0,28.16,17.04,98.49,86.72,41.61,93.8
2013,Maharashtra,Aurangabad,0,0,780.36,0,801.78,0,7625.98,0,428.54,0,98.48,98.59,99,98.54,0.43,0.37
2013,Maharashtra,Aurangabad,0,0,780.36,0,801.78,0,7625.98,0,428.54,0,28.16,17.04,98.49,86.72,41.61,93.8
2014,Maharashtra,Aurangabad,0,0,394.78,0,395.56,0,5542,0,101.3,0,98.48,98.59,99,98.54,0.43,0.37
2014,Maharashtra,Aurangabad,0,0,394.78,0,395.56,0,5542,0,101.3,0,28.16,17.04,98.49,86.72,41.61,93.8
2015,Maharashtra,Aurangabad,0,0,312.71,0,313.66,0,4842.51,0,101.69,0,98.48,98.59,99,98.54,0.43,0.37
2015,Maharashtra,Aurangabad,0,0,312.71,0,313.66,0,4842.51,0,101.69,0,28.16,17.04,98.49,86.72,41.61,93.8
2016,Maharashtra,Aurangabad,476.92,0,979.12,0,985.09,0,4777.95,0,393.84,0,98.48,98.59,99,98.54,0.43,0.37
2016,Maharashtra,Aurangabad,476.92,0,979.12,0,985.09,0,4777.95,0,393.84,0,28.16,17.04,98.49,86.72,41.61,93.8
2017,Maharashtra,Aurangabad,0,0,701.13,0,710.61,0,5741.29,0,132.56,0,98.48,98.59,99,98.54,0.43,0.37
2017,Maharashtra,Aurangabad,0,0,701.13,0,710.61,0,5741.29,0,132.56,0,28.16,17.04,98.49,86.72,41.61,93.8
1966,Maharashtra,Parbhani,176.47,0.8,485.47,3,437.77,3.1,6800,2.1,68.67,0.6,51.9,50.26,82.01,96.97,45.24,17.72
1967,Maharashtra,Parbhani,500,0.8,645.89,2.2,625.22,2.2,4833.33,2.1,88.12,0.6,51.9,50.26,82.01,96.97,45.24,17.72
1968,Maharashtra,Parbhani,683.76,1,414.66,2.1,498.85,2.3,7800,3,75.73,0.5,51.9,50.26,82.01,96.97,45.24,17.72
1969,Maharashtra,Parbhani,526.72,1.6,660.77,2.8,475.39,3.2,6625,3.2,65.76,0.7,51.9,50.26,82.01,96.97,45.24,17.72
1970,Maharashtra,Parbhani,507.69,1.3,290.36,0.1,278.01,0.5,6038.46,2.6,19.95,0.6,51.9,50.26,82.01,96.97,45.24,17.72
1971,Maharashtra,Parbhani,282.61,1.3,185,1.7,216.28,1.9,5916.67,2.4,71.58,0.3,51.9,50.26,82.01,96.97,45.24,17.72
1972,Maharashtra,Parbhani,245.61,1.8,235.66,1.1,262.54,2.6,4521.74,2.3,60.03,0.9,51.9,50.26,82.01,96.97,45.24,17.72
1973,Maharashtra,Parbhani,626.98,2.8,491.37,1.8,386.36,3.2,5851.85,2.7,95.38,1.1,51.9,50.26,82.01,96.97,45.24,17.72
1974,Maharashtra,Parbhani,503.31,3.2,396.83,4.5,501.49,8.3,7555.56,2.7,127.31,1.8,51.9,50.26,82.01,96.97,45.24,17.72
1975,Maharashtra,Parbhani,1730.39,7.4,400.46,4.4,445.77,6.1,6680,2.5,34.18,2,51.9,50.26,82.01,96.97,45.24,17.72
1976,Maharashtra,Parbhani,1037.97,7.8,693.15,4.4,819.06,6,4265.31,4.9,48.41,1.8,51.9,50.26,82.01,96.97,45.24,17.72
1977,Maharashtra,Parbhani,1419.58,8.9,444.75,4.2,672.94,6.2,5533.33,6,94.98,3.1,51.9,50.26,82.01,96.97,45.24,17.72
1978,Maharashtra,Parbhani,1444.44,14,648.18,3.3,681.44,6.4,5058.82,5.1,101.9,3,51.9,50.26,82.01,96.97,45.24,17.72
1979,Maharashtra,Parbhani,1065.57,13.9,689.93,3,945.66,6.3,5500,5.6,115.43,3.5,51.9,50.26,82.01,96.97,45.24,17.72
1980,Maharashtra,Parbhani,1127.91,3.9,503.35,2.9,609.57,6.1,5619.05,6,83.63,3.9,51.9,50.26,82.01,96.97,45.24,17.72
1981,Maharashtra,Parbhani,1368.2,3.6,757.51,1.1,976.01,2.4,8431.82,5.2,95.33,4.6,51.9,50.26,82.01,96.97,45.24,17.72
1982,Maharashtra,Parbhani,674.01,14.7,362.46,1.2,779.63,2.5,8944.44,5.8,106.93,4.6,51.9,50.26,82.01,96.97,45.24,17.72
1983,Maharashtra,Parbhani,956.9,14.2,391.92,1.2,556.9,2.4,5950,5.8,53.3,4.5,51.9,50.26,82.01,96.97,45.24,17.72
1984,Maharashtra,Parbhani,536.48,14.5,638.37,1.3,779.09,2.7,5392.16,7.3,108.51,2.7,51.9,50.26,82.01,96.97,45.24,17.72
1985,Maharashtra,Parbhani,677.82,14.2,450.08,1.3,600.6,2.7,5584.91,9.7,151.3,2.7,51.9,50.26,82.01,96.97,45.24,17.72
1986,Maharashtra,Parbhani,608.7,13.9,529.51,1.6,535.34,2.9,5090.91,7.8,60.48,2.1,51.9,50.26,82.01,96.97,45.24,17.72
1987,Maharashtra,Parbhani,652.17,11.7,677.56,0.9,826.91,1.1,7302.33,5.6,102.36,1.1,51.9,50.26,82.01,96.97,45.24,17.72
1988,Maharashtra,Parbhani,938.27,11.9,462.4,0.8,454.57,1,4000,7.2,69.57,6.3,51.9,50.26,82.01,96.97,45.24,17.72
1989,Maharashtra,Parbhani,944.44,9.4,708.33,1.5,872.18,1.7,8135.8,10.8,131.08,7.3,51.9,50.26,82.01,96.97,45.24,17.72
1990,Maharashtra,Parbhani,992.34,0.3,660.78,0,903.92,0,8136.75,13.6,83.53,1.4,51.9,50.26,82.01,96.97,45.24,17.72
1991,Maharashtra,Parbhani,395.26,2.4,642.86,0.1,704.92,0.1,6892.24,17.2,55.41,8.8,51.9,50.26,82.01,96.97,45.24,17.72
1992,Maharashtra,Parbhani,791.11,0.4,670.15,0,1374.19,0,7686.92,14.7,100.71,7.4,51.9,50.26,82.01,96.97,45.24,17.72
1993,Maharashtra,Parbhani,815.45,0,853.9,0.1,1135.55,0.1,6952.58,10.2,193.66,1.1,51.9,50.26,82.01,96.97,45.24,17.72
1994,Maharashtra,Parbhani,860.56,0.4,802.3,0,1098.51,0,7123.02,11.6,181.03,9.9,51.9,50.26,82.01,96.97,45.24,17.72
1995,Maharashtra,Parbhani,611.76,0,767.58,0,1110.19,0,7145.4,15.6,132.39,1.3,51.9,50.26,82.01,96.97,45.24,17.72
1996,Maharashtra,Parbhani,668.07,0,788.94,0,1242.37,0,6458.13,15,158.86,0.2,51.9,50.26,82.01,96.97,45.24,17.72
1997,Maharashtra,Parbhani,460.53,1.3,335.48,0.4,887.2,0.8,8649.25,18.9,97,12.2,51.9,50.26,82.01,96.97,45.24,17.72
1998,Maharashtra,Parbhani,449.78,2.2,488.2,1.5,833.28,2.3,7598.27,17,145.18,12.5,51.9,50.26,82.01,96.97,45.24,17.72
1999,Maharashtra,Parbhani,547.72,3.1,740.46,2.3,1092.22,2.9,8199.68,32.4,119.54,12.8,51.9,50.26,82.01,96.97,45.24,17.72
2000,Maharashtra,Parbhani,502.06,0,695.38,1.8,990.66,1.8,6650.87,29,79.3,0,51.9,50.26,82.01,96.97,45.24,17.72
2001,Maharashtra,Parbhani,622.41,0,794.6,2.1,1029.94,2.1,8230.88,30.5,158.67,0,51.9,50.26,82.01,96.97,45.24,17.72
2002,Maharashtra,Parbhani,553.36,3.7,755.62,2.4,1097.42,3.1,6641.74,32.8,173.08,2.6,51.9,50.26,82.01,96.97,45.24,17.72
2003,Maharashtra,Parbhani,439.79,0,617.21,2.6,961.59,2.6,6110.66,0,223.87,0,51.9,50.26,82.01,96.97,45.24,17.72
2004,Maharashtra,Parbhani,276.84,0,437.4,2.8,583.66,2.8,5830.38,17.2,150.5,0,51.9,50.26,82.01,96.97,45.24,17.72
2005,Maharashtra,Parbhani,365.22,0,658.81,3.4,876.13,3.4,6894.65,0,208.69,0,51.9,50.26,82.01,96.97,45.24,17.72
2006,Maharashtra,Parbhani,429.75,0,847.02,3.7,881.94,3.7,7687.08,0,283.36,0,51.9,50.26,82.01,96.97,45.24,17.72
2007,Maharashtra,Parbhani,419.47,0,950.44,3.6,1176.92,3.6,7117.76,0,507.91,0,51.9,50.26,82.01,96.97,45.24,17.72
2008,Maharashtra,Parbhani,349.21,0,904.84,3.6,988.14,3.6,6090.2,0,299.48,0,51.9,50.26,82.01,96.97,45.24,17.72
2009,Maharashtra,Parbhani,351.16,0,844.43,0,883.65,0,7016.4,0,271.02,0,51.9,50.26,82.01,96.97,45.24,17.72
2010,Maharashtra,Parbhani,484.31,0,450.77,0,720.28,0,8551.24,0,291,0,51.9,50.26,82.01,96.97,45.24,17.72
2011,Maharashtra,Parbhani,347.83,0,772.4,0,959.09,0,6730.47,0,286.79,0,51.9,50.26,82.01,96.97,45.24,17.72
2012,Maharashtra,Parbhani,165,0,788.76,0,980.04,0,7272.69,0,358.66,0,51.9,50.26,82.01,96.97,45.24,17.72
2013,Maharashtra,Parbhani,428.57,0,651.88,0,782.76,0,7114.15,0,373.72,0,51.9,50.26,82.01,96.97,45.24,17.72
2014,Maharashtra,Parbhani,0,0,505.17,0,468.77,0,5820.33,0,141.85,0,51.9,50.26,82.01,96.97,45.24,17.72
2015,Maharashtra,Parbhani,0,0,223.76,0,252.08,0,2806.41,0,77.89,0,51.9,50.26,82.01,96.97,45.24,17.72
2016,Maharashtra,Parbhani,200,0,953.24,0,861.43,0,6366.53,0,686.81,0,51.9,50.26,82.01,96.97,45.24,17.72
2017,Maharashtra,Parbhani,0,0,738.37,0,672.74,0,4178.26,0,331.95,0,51.9,50.26,82.01,96.97,45.24,17.72
1966,Maharashtra,Beed,300,1.4,674.67,27.6,593.79,29.3,8200,1.7,51.72,2.2,55.96,22.15,98.55,96.51,73.17,57.28
1967,Maharashtra,Beed,375,1.4,568.23,25.6,571.47,26.6,7000,1.7,50,2.2,55.96,22.15,98.55,96.51,73.17,57.28
1968,Maharashtra,Beed,540.54,1.8,596.45,26.9,592.58,27.8,8166.67,2.4,101.01,1.9,55.96,22.15,98.55,96.51,73.17,57.28
1969,Maharashtra,Beed,518.07,1.5,694.32,29.9,564.76,31,6533.33,3,75.33,2.3,55.96,22.15,98.55,96.51,73.17,57.28
1970,Maharashtra,Beed,507.25,1.9,268.6,27.6,262.52,28.8,7250,2,13.67,2.3,55.96,22.15,98.55,96.51,73.17,57.28
1971,Maharashtra,Beed,280,0.7,263.22,31.9,272.61,33.6,4043.48,2.3,45.87,0.9,55.96,22.15,98.55,96.51,73.17,57.28
1972,Maharashtra,Beed,12.35,0.4,97.89,9.8,109.76,10.8,4541.67,1.6,66.95,2.7,55.96,22.15,98.55,96.51,73.17,57.28
1973,Maharashtra,Beed,509.09,0.8,622.19,23.9,521.88,26.4,5666.67,1.5,124.29,2.5,55.96,22.15,98.55,96.51,73.17,57.28
1974,Maharashtra,Beed,418.18,1.2,416.15,41.5,485.48,41.9,7272.73,2.7,135.75,3.8,55.96,22.15,98.55,96.51,73.17,57.28
1975,Maharashtra,Beed,590.48,1.6,361.96,46.7,436.07,49,7142.86,4.9,49.24,2.6,55.96,22.15,98.55,96.51,73.17,57.28
1976,Maharashtra,Beed,786.89,1.6,808.56,48.7,921.34,52.3,7850,8.1,58.44,2.1,55.96,22.15,98.55,96.51,73.17,57.28
1977,Maharashtra,Beed,1081.82,2,563.13,45.1,763.4,54.5,6267.86,7.7,115.25,3.5,55.96,22.15,98.55,96.51,73.17,57.28
1978,Maharashtra,Beed,1188.12,2.6,631.12,47.1,789.13,56.8,6125,8.6,176.23,5,55.96,22.15,98.55,96.51,73.17,57.28
1979,Maharashtra,Beed,911.39,2.1,765.93,47.9,845.26,57.6,5921.05,6.7,197.72,6.5,55.96,22.15,98.55,96.51,73.17,57.28
1980,Maharashtra,Beed,1261.9,3.1,545.6,49.1,661.55,58.4,6920,6.4,143.91,6.7,55.96,22.15,98.55,96.51,73.17,57.28
1981,Maharashtra,Beed,558.44,2.7,499.63,49.9,561.25,59.9,8382.35,6.7,163.64,7.6,55.96,22.15,98.55,96.51,73.17,57.28
1982,Maharashtra,Beed,700,5.8,423.86,48.6,517.7,58.2,8946.81,7.5,185.87,5.3,55.96,22.15,98.55,96.51,73.17,57.28
1983,Maharashtra,Beed,937.5,3,466.21,46.3,547.23,53.7,7371.43,8.4,91.58,1.8,55.96,22.15,98.55,96.51,73.17,57.28
1984,Maharashtra,Beed,677.42,6.1,472.67,42.7,607.99,55.8,6936.71,13.8,130.28,1.8,55.96,22.15,98.55,96.51,73.17,57.28
1985,Maharashtra,Beed,538.46,6,310.18,42.8,391.44,56,7466.67,13.8,124.16,1.8,55.96,22.15,98.55,96.51,73.17,57.28
1986,Maharashtra,Beed,285.71,6.2,339.87,43.2,368.07,56.3,3966.67,12.9,125,1.7,55.96,22.15,98.55,96.51,73.17,57.28
