Year,District,ANNUAL RAINFALL (Millimeters)
2014,Ferozpur,204.7
2015,Ferozpur,169.9
1966,Bhatinda,482.2
1967,Bhatinda,350
1968,Bhatinda,167.7
1969,Bhatinda,326.2
1970,Bhatinda,499.9
1971,Bhatinda,350.1
1972,Bhatinda,581.9
1973,Bhatinda,419
1974,Bhatinda,219.3
1975,Bhatinda,559.7
1976,Bhatinda,503.4
1977,Bhatinda,435.9
1978,Bhatinda,444
1979,Bhatinda,255
1980,Bhatinda,327.6
1981,Bhatinda,298.2
1982,Bhatinda,293.7
1983,Bhatinda,440.9
1984,Bhatinda,332.9
1985,Bhatinda,545.9
1986,Bhatinda,453.6
1987,Bhatinda,259.9
1988,Bhatinda,845.1
1989,Bhatinda,304.1
1990,Bhatinda,342.1
1991,Bhatinda,121.7
1992,Bhatinda,137.1
1993,Bhatinda,215.8
1994,Bhatinda,132.9
1995,Bhatinda,220.7
1996,Bhatinda,240.2
1997,Bhatinda,274.9
1998,Bhatinda,173.6
1999,Bhatinda,42.5
2000,Bhatinda,136.1
2001,Bhatinda,197.8
2002,Bhatinda,64.7
2003,Bhatinda,335.9
2004,Bhatinda,209.5
2005,Bhatinda,533.5
2006,Bhatinda,380.2
2007,Bhatinda,259.2
2008,Bhatinda,527
2009,Bhatinda,252
2010,Bhatinda,253
2011,Bhatinda,132.2
2012,Bhatinda,215.9
2013,Bhatinda,592.5
2014,Bhatinda,336.8
2015,Bhatinda,399.2
1966,Sangrur,482.9
1967,Sangrur,537.3
1968,Sangrur,465.1
1969,Sangrur,481.1
1970,Sangrur,540.3
1972,Sangrur,457.3
1973,Sangrur,432.6
1974,Sangrur,265.6
1975,Sangrur,593.3
1976,Sangrur,721.7
1977,Sangrur,715.1
1978,Sangrur,510.6
1979,Sangrur,286.4
1980,Sangrur,493.6
1981,Sangrur,519.8
1982,Sangrur,488.2
1983,Sangrur,736.6
1984,Sangrur,483.8
1985,Sangrur,633.1
1986,Sangrur,499
1987,Sangrur,320.8
1988,Sangrur,1270.1
1989,Sangrur,366.9
1990,Sangrur,527.2
1991,Sangrur,296.9
1992,Sangrur,201.4
1993,Sangrur,343.7
1994,Sangrur,367.4
1995,Sangrur,579
1996,Sangrur,308.2
1997,Sangrur,540.7
1998,Sangrur,377.2
1999,Sangrur,228.8
2000,Sangrur,202
2001,Sangrur,173.8
2002,Sangrur,58.4
2003,Sangrur,286
2004,Sangrur,311.2
2005,Sangrur,500.4
2006,Sangrur,339
2007,Sangrur,159.5
2008,Sangrur,418.5
2009,Sangrur,324.5
2010,Sangrur,416.1
2011,Sangrur,30.5
2012,Sangrur,214.4
2013,Sangrur,325.4
2014,Sangrur,270.3
2015,Sangrur,492.7
1966,Patiala,542.5
1967,Patiala,585
1968,Patiala,897.4
1969,Patiala,820.2
1970,Patiala,871.7
1971,Patiala,689
1972,Patiala,627.6
1973,Patiala,746.1
1974,Patiala,412.4
1975,Patiala,761.1
1976,Patiala,824.6
1977,Patiala,928.3
1978,Patiala,682.8
1979,Patiala,456.1
1980,Patiala,807.2
1981,Patiala,585
1982,Patiala,763.4
1983,Patiala,948.5
1984,Patiala,572.6
1985,Patiala,730.5
1986,Patiala,650.5
1987,Patiala,267.7
1988,Patiala,1515.2
1989,Patiala,680.7
1990,Patiala,662.7
1991,Patiala,600.9
1992,Patiala,554
1993,Patiala,994.1
1994,Patiala,899.1
1995,Patiala,1060.9
1996,Patiala,1052
1997,Patiala,819.8
1998,Patiala,779
1999,Patiala,470.1
2000,Patiala,641.2
2001,Patiala,622.9
2002,Patiala,532.7
2003,Patiala,655.3
2004,Patiala,808.7
2005,Patiala,645.2
2006,Patiala,382.6
2007,Patiala,464.8
2008,Patiala,1320.4
2009,Patiala,516.1
2010,Patiala,483.7
2011,Patiala,79.5
2012,Patiala,371.6
2013,Patiala,503.8
2014,Patiala,395.8
2015,Patiala,514.1
1966,Hissar,672.5
1967,Hissar,667.1
1968,Hissar,169.5
1969,Hissar,440.5
1970,Hissar,476.7
1971,Hissar,446.2
1972,Hissar,239.4
1973,Hissar,337.1
1974,Hissar,264.1
1975,Hissar,399.1
1976,Hissar,612.5
1977,Hissar,626.6
1978,Hissar,508
1979,Hissar,384.1
1980,Hissar,292.9
1981,Hissar,473.7
1982,Hissar,466.3
1983,Hissar,462
1984,Hissar,422.2
1985,Hissar,427.4
1986,Hissar,369.1
1987,Hissar,163.6
1988,Hissar,580.8
1989,Hissar,156.5
1990,Hissar,417.3
1991,Hissar,254
1992,Hissar,305.2
1993,Hissar,298.6
1994,Hissar,366.8
1995,Hissar,473.3
1996,Hissar,322.7
1997,Hissar,954.6
1998,Hissar,373.8
1999,Hissar,178.5
2000,Hissar,95
2001,Hissar,402.1
2002,Hissar,132.5
2003,Hissar,440.1
2004,Hissar,300.9
2005,Hissar,474.3
2006,Hissar,253.3
2007,Hissar,198.3
2008,Hissar,446.7
2009,Hissar,261
2010,Hissar,330.2
2011,Hissar,300.4
2012,Hissar,265.6
2013,Hissar,415.4
2014,Hissar,186.4
2015,Hissar,299
1966,Gurgaon,476.9
1967,Gurgaon,475.2
1968,Gurgaon,304.9
1969,Gurgaon,623.4
1970,Gurgaon,532.5
1971,Gurgaon,420.1
1972,Gurgaon,554.6
1973,Gurgaon,533.6
1974,Gurgaon,348.7
1975,Gurgaon,680.4
1976,Gurgaon,608.5
1977,Gurgaon,834.6
1978,Gurgaon,620.7
1979,Gurgaon,384.6
1980,Gurgaon,478
1981,Gurgaon,596.7
1982,Gurgaon,579
1983,Gurgaon,1079.3
1984,Gurgaon,578.2
1985,Gurgaon,697.4
1986,Gurgaon,286.8
1987,Gurgaon,293.1
1988,Gurgaon,757.7
1989,Gurgaon,279.9
1990,Gurgaon,566.3
1991,Gurgaon,477.7
1992,Gurgaon,422.3
1993,Gurgaon,709.4
1994,Gurgaon,554
1995,Gurgaon,731.5
1996,Gurgaon,970.6
1997,Gurgaon,629.6
1998,Gurgaon,634.8
1999,Gurgaon,442.6
2000,Gurgaon,362.7
2001,Gurgaon,439.7
2002,Gurgaon,336.1
2003,Gurgaon,761.2
2004,Gurgaon,558.2
2005,Gurgaon,638.3
2006,Gurgaon,316.5
2007,Gurgaon,435.1
2008,Gurgaon,614.1
2009,Gurgaon,437
2010,Gurgaon,1019.3
2011,Gurgaon,461.6
2012,Gurgaon,486
2013,Gurgaon,401
2014,Gurgaon,297
2015,Gurgaon,466.7
1971,Jind,214.5
1972,Jind,331.3
1973,Jind,375.1
1974,Jind,302
1975,Jind,419.7
1976,Jind,663.8
1977,Jind,458.9
1978,Jind,377.4
1979,Jind,317.3
1980,Jind,297.4
1981,Jind,325.2
1982,Jind,270
1983,Jind,231.2
1984,Jind,302.7
1985,Jind,461.7
1986,Jind,435.6
1987,Jind,195.4
1988,Jind,830
1989,Jind,389.8
1990,Jind,478.7
1991,Jind,314
1992,Jind,267.2
1993,Jind,532.5
1994,Jind,466.2
1995,Jind,1006.1
1996,Jind,481.9
1997,Jind,724.7
1998,Jind,834.8
1999,Jind,250.4
2000,Jind,350
2001,Jind,511.2
2002,Jind,337.6
2003,Jind,444
2004,Jind,634.7
2005,Jind,813.6
2006,Jind,352.4
2007,Jind,464
2008,Jind,561.7
2009,Jind,406.8
2010,Jind,711.7
2011,Jind,688.7
2012,Jind,220.6
2013,Jind,485.7
2014,Jind,282.9
2015,Jind,416.8
1967,Mahendragarh / Narnaul,631.4
1968,Mahendragarh / Narnaul,357.3
1969,Mahendragarh / Narnaul,707.8
1970,Mahendragarh / Narnaul,596.9
1971,Mahendragarh / Narnaul,421.9
1972,Mahendragarh / Narnaul,561.2
1973,Mahendragarh / Narnaul,446.7
1974,Mahendragarh / Narnaul,460.1
1975,Mahendragarh / Narnaul,635.1
1976,Mahendragarh / Narnaul,767.7
1977,Mahendragarh / Narnaul,643
1978,Mahendragarh / Narnaul,570.9
1979,Mahendragarh / Narnaul,227.1
1980,Mahendragarh / Narnaul,544.5
1981,Mahendragarh / Narnaul,445.6
1982,Mahendragarh / Narnaul,471
1983,Mahendragarh / Narnaul,669.9
1984,Mahendragarh / Narnaul,355.4
1985,Mahendragarh / Narnaul,369.3
1986,Mahendragarh / Narnaul,245.8
1987,Mahendragarh / Narnaul,247.3
1988,Mahendragarh / Narnaul,509.8
1989,Mahendragarh / Narnaul,286.1
1990,Mahendragarh / Narnaul,555.6
1991,Mahendragarh / Narnaul,309
1992,Mahendragarh / Narnaul,467.2
1993,Mahendragarh / Narnaul,619.6
1994,Mahendragarh / Narnaul,459.7
1995,Mahendragarh / Narnaul,863
1996,Mahendragarh / Narnaul,979.3
1997,Mahendragarh / Narnaul,670.6
1998,Mahendragarh / Narnaul,406.9
1999,Mahendragarh / Narnaul,233.5
2000,Mahendragarh / Narnaul,285.6
2001,Mahendragarh / Narnaul,449
2002,Mahendragarh / Narnaul,150.2
2003,Mahendragarh / Narnaul,405.4
2004,Mahendragarh / Narnaul,264.4
2005,Mahendragarh / Narnaul,323.1
2006,Mahendragarh / Narnaul,160.4
2007,Mahendragarh / Narnaul,330.8
2008,Mahendragarh / Narnaul,827.5
2009,Mahendragarh / Narnaul,276.9
2010,Mahendragarh / Narnaul,704
2011,Mahendragarh / Narnaul,593.3
2012,Mahendragarh / Narnaul,377.6
2013,Mahendragarh / Narnaul,407.7
2014,Mahendragarh / Narnaul,293.6
2015,Mahendragarh / Narnaul,273.7
1966,Ambala,882.9
1967,Ambala,941
1968,Ambala,976
1969,Ambala,932.7
1970,Ambala,1008.7
1971,Ambala,1184.5
1972,Ambala,921.7
1973,Ambala,1306.2
1974,Ambala,659
1975,Ambala,1058.3
1976,Ambala,1099
1977,Ambala,975.4
1978,Ambala,1018
1979,Ambala,597.2
1980,Ambala,981.7
1981,Ambala,887.7
1982,Ambala,977.7
1983,Ambala,1498.5
1984,Ambala,1203
1985,Ambala,1076.5
1986,Ambala,1096
1987,Ambala,582.8
1988,Ambala,1587.2
1989,Ambala,1082.7
1990,Ambala,1561.4
1991,Ambala,788.4
1992,Ambala,1036.1
1993,Ambala,880.4
1994,Ambala,1136.9
1995,Ambala,1659.3
1996,Ambala,1274.4
1997,Ambala,2279.5
1998,Ambala,1521.8
1999,Ambala,1189
2000,Ambala,931
2001,Ambala,957.9
2002,Ambala,978.1
2003,Ambala,1085
2004,Ambala,1202.9
2005,Ambala,1058.2
2006,Ambala,669.7
2007,Ambala,954.5
2008,Ambala,1227.9
2009,Ambala,779.5
2010,Ambala,1172
2011,Ambala,1215
2012,Ambala,549.5
2013,Ambala,947.6
2014,Ambala,686.4
2015,Ambala,689.9
1966,Karnal,704.4
1967,Karnal,967.3
1968,Karnal,978.3
1969,Karnal,486
1970,Karnal,759.3
1971,Karnal,349.6
1972,Karnal,891.5
1973,Karnal,574.9
1974,Karnal,539.5
1975,Karnal,645.4
1976,Karnal,731.4
1977,Karnal,713
1978,Karnal,695.3
1979,Karnal,306.8
1980,Karnal,676
1981,Karnal,668.3
1982,Karnal,477.4
1983,Karnal,930
1984,Karnal,415.5
1985,Karnal,480.6
1986,Karnal,570.5
1987,Karnal,376.5
1988,Karnal,1176.7
1989,Karnal,568.8
1990,Karnal,885
1991,Karnal,423.8
1992,Karnal,409.5
1993,Karnal,549.6
1994,Karnal,581.8
1995,Karnal,743.8
1996,Karnal,773
1997,Karnal,593.4
1998,Karnal,745.3
1999,Karnal,271.4
2000,Karnal,470.5
2001,Karnal,524
2002,Karnal,277
2003,Karnal,423.6
2004,Karnal,630.3
2005,Karnal,562.7
2006,Karnal,322
2007,Karnal,600.3
2008,Karnal,613.6
2009,Karnal,485.6
2010,Karnal,581.8
2011,Karnal,487.5
2012,Karnal,359.6
2013,Karnal,691.8
2014,Karnal,561.7
2015,Karnal,639.7
1967,Rohtak,626.6
1968,Rohtak,616.7
1969,Rohtak,750.4
1970,Rohtak,535.1
1971,Rohtak,590
1972,Rohtak,487.1
1973,Rohtak,378.6
1974,Rohtak,326.9
1975,Rohtak,680
1976,Rohtak,674.3
1977,Rohtak,724.4
1978,Rohtak,662.3
1979,Rohtak,437.5
1980,Rohtak,719.9
1981,Rohtak,791.7
1982,Rohtak,691.7
1983,Rohtak,1084.9
1984,Rohtak,586
1985,Rohtak,601.8
1986,Rohtak,313
1987,Rohtak,139.5
1988,Rohtak,852.5
1989,Rohtak,294.2
1990,Rohtak,550.9
1991,Rohtak,416
1992,Rohtak,363.1
1993,Rohtak,573.6
1994,Rohtak,584.5
1995,Rohtak,848.7
1996,Rohtak,666.3
1997,Rohtak,741.9
1998,Rohtak,591.7
1999,Rohtak,282
2000,Rohtak,437.7
2001,Rohtak,559.5
2002,Rohtak,342
2003,Rohtak,536
2004,Rohtak,400.4
2005,Rohtak,611.5
2006,Rohtak,432.9
2007,Rohtak,235.4
2008,Rohtak,580.6
2009,Rohtak,402.8
2010,Rohtak,474.5
2011,Rohtak,243
2012,Rohtak,263.5
2013,Rohtak,262.8
2014,Rohtak,147.7
2015,Rohtak,322.3
1966,Saharanpur,1189.5
1967,Saharanpur,1116.5
1968,Saharanpur,863.4
1969,Saharanpur,791.6
1970,Saharanpur,922.6
1971,Saharanpur,759.8
1972,Saharanpur,620.4
1973,Saharanpur,1048.6
1974,Saharanpur,650.4
1975,Saharanpur,1142.1
1976,Saharanpur,782.2
1977,Saharanpur,881.8
1978,Saharanpur,1619.5
1979,Saharanpur,874.6
1980,Saharanpur,943.3
1981,Saharanpur,861.3
1982,Saharanpur,635
1983,Saharanpur,1389.7
1984,Saharanpur,602.3
1985,Saharanpur,803.9
1986,Saharanpur,794.9
1987,Saharanpur,517.8
1988,Saharanpur,1569.2
1989,Saharanpur,638
1990,Saharanpur,827.9
1991,Saharanpur,520.3
1992,Saharanpur,890
1993,Saharanpur,694
1994,Saharanpur,1123.3
1995,Saharanpur,1058.3
1996,Saharanpur,-1
1997,Saharanpur,976.7
1998,Saharanpur,1278.4
1999,Saharanpur,618.4
2000,Saharanpur,443.6
2002,Saharanpur,944.1
2004,Saharanpur,932.6
2005,Saharanpur,1135.1
2006,Saharanpur,506
2007,Saharanpur,887.6
2008,Saharanpur,768.4
2009,Saharanpur,555
2010,Saharanpur,670.3
2011,Saharanpur,883.7
2012,Saharanpur,713.3
2013,Saharanpur,1541.9
2014,Saharanpur,567.6
2015,Saharanpur,737.5
1966,Muzaffarnagar,950
1967,Muzaffarnagar,849.9
1968,Muzaffarnagar,666.1
1969,Muzaffarnagar,619.3
1970,Muzaffarnagar,680.2
1971,Muzaffarnagar,1065.7
1972,Muzaffarnagar,793.2
1973,Muzaffarnagar,743
1974,Muzaffarnagar,-1
1975,Muzaffarnagar,-1
1976,Muzaffarnagar,615
1977,Muzaffarnagar,875.3
1978,Muzaffarnagar,-1
1979,Muzaffarnagar,512.4
1980,Muzaffarnagar,676.8
1981,Muzaffarnagar,636.6
1982,Muzaffarnagar,577.3
1983,Muzaffarnagar,1319.7
1984,Muzaffarnagar,706.4
1985,Muzaffarnagar,850.1
1986,Muzaffarnagar,613.1
1987,Muzaffarnagar,252.4
1988,Muzaffarnagar,1179.4
1989,Muzaffarnagar,591.6
1990,Muzaffarnagar,681.8
1991,Muzaffarnagar,570.6
1992,Muzaffarnagar,626.3
1993,Muzaffarnagar,508.4
1994,Muzaffarnagar,1220.4
1995,Muzaffarnagar,939.2
1996,Muzaffarnagar,-1
1997,Muzaffarnagar,931.4
1998,Muzaffarnagar,1630.1
1999,Muzaffarnagar,626
2000,Muzaffarnagar,257.8
2002,Muzaffarnagar,891.9
2004,Muzaffarnagar,408.4
2005,Muzaffarnagar,823.2
2006,Muzaffarnagar,662
2007,Muzaffarnagar,478.8
2008,Muzaffarnagar,245.6
2009,Muzaffarnagar,282.9
2010,Muzaffarnagar,450.6
2011,Muzaffarnagar,503.9
2012,Muzaffarnagar,509.1
2013,Muzaffarnagar,1063.7
2014,Muzaffarnagar,510.4
2015,Muzaffarnagar,784.3
1966,Meerut,788.5
1967,Meerut,1051.7
1968,Meerut,609.8
1969,Meerut,792.6
1970,Meerut,864.9
1971,Meerut,994.1
1972,Meerut,899.3
1973,Meerut,811
1974,Meerut,697.3
1975,Meerut,998.3
1976,Meerut,888
1977,Meerut,1029.8
1978,Meerut,1082.3
1979,Meerut,357
1980,Meerut,711.4
1981,Meerut,725.6
1982,Meerut,872.1
1983,Meerut,1082.6
1984,Meerut,575.9
1985,Meerut,760.3
1986,Meerut,694.3
1987,Meerut,360.4
1988,Meerut,1259.7
1989,Meerut,714.9
1990,Meerut,765
1991,Meerut,649.3
1992,Meerut,576.7
1993,Meerut,714.9
1994,Meerut,1033.9
1995,Meerut,972.1
1996,Meerut,-1
1997,Meerut,888.5
1998,Meerut,1232.7
1999,Meerut,518.9
2000,Meerut,309.1
2002,Meerut,975
2004,Meerut,722.3
2005,Meerut,600
2006,Meerut,210
2007,Meerut,365.2
2008,Meerut,437.4
2009,Meerut,221.7
2010,Meerut,376.9
2011,Meerut,438.4
2012,Meerut,395.4
2013,Meerut,923.8
2014,Meerut,467
2015,Meerut,587.5
1966,Buland Shahar,681.3
1967,Buland Shahar,1155.8
1968,Buland Shahar,560.6
1969,Buland Shahar,686.8
1970,Buland Shahar,727.2
1971,Buland Shahar,965.3
1972,Buland Shahar,746.9
1973,Buland Shahar,676.1
1974,Buland Shahar,471.8
1975,Buland Shahar,1134.6
1976,Buland Shahar,600.6
1977,Buland Shahar,967.7
1978,Buland Shahar,953.1
1979,Buland Shahar,518.8
1980,Buland Shahar,797.5
1981,Buland Shahar,564.5
1982,Buland Shahar,699.1
1983,Buland Shahar,992.8
1984,Buland Shahar,599.3
1985,Buland Shahar,743.1
1986,Buland Shahar,803.9
1987,Buland Shahar,468.6
1988,Buland Shahar,1006.7
1989,Buland Shahar,491.5
1990,Buland Shahar,623.3
1991,Buland Shahar,679.8
1992,Buland Shahar,445.2
1993,Buland Shahar,518.6
1994,Buland Shahar,566.3
1995,Buland Shahar,464.3
1996,Buland Shahar,-1
1997,Buland Shahar,589.3
1998,Buland Shahar,768.3
1999,Buland Shahar,523.5
2000,Buland Shahar,133.1
2002,Buland Shahar,413.9
2004,Buland Shahar,484.9
2005,Buland Shahar,705.5
2006,Buland Shahar,346
2007,Buland Shahar,448.6
2008,Buland Shahar,732.8
2009,Buland Shahar,399.2
2010,Buland Shahar,351.1
2011,Buland Shahar,330.5
2012,Buland Shahar,398.6
2013,Buland Shahar,530.7
2014,Buland Shahar,340.3
2015,Buland Shahar,552.4
1966,Aligarh,630.2
1967,Aligarh,995.7
1968,Aligarh,627.9
1969,Aligarh,628.2
1970,Aligarh,565.9
1971,Aligarh,800.5
1972,Aligarh,517.7
1973,Aligarh,595.5
1974,Aligarh,490.4
1975,Aligarh,816.4
1976,Aligarh,592
1977,Aligarh,1094.2
1978,Aligarh,750.7
1979,Aligarh,435.9
1980,Aligarh,744.9
1981,Aligarh,601
1982,Aligarh,988.9
1983,Aligarh,1121.4
1984,Aligarh,596.7
1985,Aligarh,802.6
1986,Aligarh,713.9
1987,Aligarh,455
1988,Aligarh,853.4
1989,Aligarh,659.2
1990,Aligarh,555.7
1991,Aligarh,483.7
1992,Aligarh,799.8
1993,Aligarh,746.8
1994,Aligarh,688.6
1995,Aligarh,587.3
1996,Aligarh,-1
1997,Aligarh,-1
1998,Aligarh,1056
1999,Aligarh,688.1
2000,Aligarh,141.3
2002,Aligarh,400.3
2004,Aligarh,513.7
2005,Aligarh,638.3
2006,Aligarh,271
2007,Aligarh,521.3
2008,Aligarh,879.2
2009,Aligarh,252.7
2010,Aligarh,437.4
2011,Aligarh,422
2012,Aligarh,496.6
2013,Aligarh,650.5
2014,Aligarh,387.1
2015,Aligarh,543.8
1966,Mathura,604.5
1967,Mathura,1099.5
1968,Mathura,633.7
1969,Mathura,568.8
1970,Mathura,573.6
1971,Mathura,244.6
1972,Mathura,348.4
1973,Mathura,578
1974,Mathura,-1
1975,Mathura,-1
1976,Mathura,588.7
1977,Mathura,1074.9
1978,Mathura,-1
1979,Mathura,467.4
1980,Mathura,625.7
1981,Mathura,577.9
1982,Mathura,702
1983,Mathura,897.5
1984,Mathura,565.5
1985,Mathura,622.1
1986,Mathura,476.1
1987,Mathura,399.3
1988,Mathura,675.6
1989,Mathura,393.6
1990,Mathura,467.5
1991,Mathura,9.8
1992,Mathura,639.4
1993,Mathura,418.6
1994,Mathura,575.2
1995,Mathura,524
1996,Mathura,-1
1997,Mathura,709
1998,Mathura,1021.2
1999,Mathura,654
2000,Mathura,258.7
2002,Mathura,532.9
2004,Mathura,487.1
2005,Mathura,879.5
2006,Mathura,306
2007,Mathura,277.1
2008,Mathura,831.1
2009,Mathura,377.8
2010,Mathura,431.6
2011,Mathura,507.6
2012,Mathura,542.6
2013,Mathura,435.8
2014,Mathura,270.2
2015,Mathura,503.4
1966,Agra,695.1
1967,Agra,1049.7
1968,Agra,568
1969,Agra,568.1
1970,Agra,688.9
1971,Agra,557.4
1972,Agra,453.2
1973,Agra,661.5
1974,Agra,447.2
1975,Agra,563
1976,Agra,530.4
1977,Agra,972
1978,Agra,868.9
1979,Agra,323.9
1980,Agra,780.1
1981,Agra,804.4
1982,Agra,880.2
1983,Agra,866.7
1984,Agra,666.5
1985,Agra,1016.9
1986,Agra,513.2
1987,Agra,429.9
1988,Agra,806.1
1989,Agra,624.3
1990,Agra,747.5
1991,Agra,-1
1992,Agra,681.7
1993,Agra,641.2
1994,Agra,914
1995,Agra,802.6
1996,Agra,-1
1997,Agra,726.2
1998,Agra,803.5
1999,Agra,843.5
2000,Agra,130.5
2002,Agra,398.5
2004,Agra,432.3
2005,Agra,423.5
2006,Agra,328
2007,Agra,366.8
2008,Agra,545.1
2009,Agra,354.2
2010,Agra,298.5
2011,Agra,277.3
2012,Agra,593.2
2013,Agra,711
2014,Agra,362.9
2015,Agra,373.4
1966,Mainpuri,585.4
1967,Mainpuri,1027.4
1968,Mainpuri,563.8
1969,Mainpuri,691.2
1970,Mainpuri,655.3
1971,Mainpuri,737.9
1972,Mainpuri,588
1973,Mainpuri,618.1
1974,Mainpuri,655.7
1975,Mainpuri,1000.4
1976,Mainpuri,526.9
1977,Mainpuri,724.1
1978,Mainpuri,912.1
1979,Mainpuri,598.5
1980,Mainpuri,976.9
1981,Mainpuri,864.6
1982,Mainpuri,793
1983,Mainpuri,993
1984,Mainpuri,606.3
1985,Mainpuri,748
1986,Mainpuri,834.2
1987,Mainpuri,357.7
1988,Mainpuri,834.7
1989,Mainpuri,510.7
1990,Mainpuri,614.9
1991,Mainpuri,-1
1992,Mainpuri,529.5
1993,Mainpuri,888.6
1994,Mainpuri,466.8
1995,Mainpuri,579.8
1996,Mainpuri,-1
1997,Mainpuri,836.9
1998,Mainpuri,1043.2
1999,Mainpuri,647.9
2000,Mainpuri,262.4
2002,Mainpuri,656.4
2004,Mainpuri,685.5
2005,Mainpuri,631.3
2006,Mainpuri,133
2007,Mainpuri,-1
2008,Mainpuri,1188.2
2009,Mainpuri,521.9
2010,Mainpuri,800.6
2011,Mainpuri,335.6
2012,Mainpuri,396.2
2013,Mainpuri,795.5
2014,Mainpuri,275.1
2015,Mainpuri,336.4
1966,Etah,537.6
1967,Etah,1011.6
1968,Etah,617.9
1969,Etah,668
1970,Etah,679.5
1971,Etah,918.8
1972,Etah,528.5
1973,Etah,585.5
1974,Etah,-1
1975,Etah,-1
1976,Etah,418.7
1977,Etah,986.2
1978,Etah,-1
1979,Etah,-1
1980,Etah,798.2
1981,Etah,705.4
1982,Etah,692.3
1985,Etah,558.1
1986,Etah,-1
1987,Etah,-1
1988,Etah,770.3
1989,Etah,461.9
1990,Etah,754.9
1991,Etah,-1
1992,Etah,724.6
1993,Etah,766.7
1994,Etah,685.1
1995,Etah,772.3
1996,Etah,-1
1997,Etah,704.9
1998,Etah,1025.8
1999,Etah,682.3
2000,Etah,76.2
2002,Etah,391
2004,Etah,485.9
2005,Etah,381.6
2006,Etah,628
2007,Etah,478.8
2008,Etah,491.3
2009,Etah,277.6
2010,Etah,388.4
2011,Etah,872.7
2012,Etah,472.8
2013,Etah,652.6
2014,Etah,316.4
2015,Etah,388.8
1966,Bareilly,716.3
1967,Bareilly,1294.5
1968,Bareilly,1000.5
1969,Bareilly,682.6
1970,Bareilly,879.7
1971,Bareilly,1192.1
1972,Bareilly,654.6
1973,Bareilly,944.7
1974,Bareilly,1061
1975,Bareilly,1310.8
1976,Bareilly,765.5
1977,Bareilly,1029.1
1978,Bareilly,1622.6
1979,Bareilly,458.3
1980,Bareilly,874.8
1981,Bareilly,729.8
1982,Bareilly,1195.4
1983,Bareilly,1384.7
1984,Bareilly,962.4
1985,Bareilly,1133.7
1986,Bareilly,903.6
1987,Bareilly,475
1988,Bareilly,1229.4
1989,Bareilly,758.8
1990,Bareilly,859.8
1991,Bareilly,-1
1992,Bareilly,533.5
1993,Bareilly,824.2
1994,Bareilly,592.8
1995,Bareilly,654.1
1996,Bareilly,-1
1997,Bareilly,825.5
1998,Bareilly,1064.9
1999,Bareilly,999.5
2000,Bareilly,262.9
2002,Bareilly,648.5
2004,Bareilly,767.4
2005,Bareilly,883.4
2006,Bareilly,577
2007,Bareilly,1003.9
2008,Bareilly,1356.2
2009,Bareilly,873.5
2010,Bareilly,796.3
2011,Bareilly,899.7
2012,Bareilly,617.5
2013,Bareilly,1288.5
2014,Bareilly,590
2015,Bareilly,820.9
1966,Budaun,725.1
1967,Budaun,1144.3
1969,Budaun,982.6
1970,Budaun,788.8
1971,Budaun,1376
1972,Budaun,520.8
1973,Budaun,937.7
1974,Budaun,-1
1975,Budaun,-1
1976,Budaun,272.4
1977,Budaun,1039.9
1978,Budaun,-1
1979,Budaun,-1
1980,Budaun,951.6
1981,Budaun,797.7
1982,Budaun,839.2
1983,Budaun,1221.5
1984,Budaun,724.2
1985,Budaun,1023.6
1986,Budaun,767.3
1987,Budaun,-1
1988,Budaun,1175.5
1989,Budaun,685.1
1990,Budaun,813.8
1991,Budaun,-1
1992,Budaun,674
1993,Budaun,834.8
1994,Budaun,684.8
1995,Budaun,736.2
1996,Budaun,-1
1997,Budaun,916.9
1998,Budaun,1216.2
1999,Budaun,572.5
2000,Budaun,169.8
2002,Budaun,533.2
2004,Budaun,426.8
2005,Budaun,244.7
2006,Budaun,208
2007,Budaun,529.1
2008,Budaun,1109.9
2009,Budaun,653.7
2010,Budaun,866.9
2011,Budaun,698.5
2012,Budaun,474.7
2013,Budaun,663.2
2014,Budaun,390.3
2015,Budaun,705.9
1966,Moradabad,762.3
1967,Moradabad,1171.9
1968,Moradabad,835.5
1969,Moradabad,1281.5
1970,Moradabad,827.3
1971,Moradabad,871.1
1972,Moradabad,723.2
1973,Moradabad,1051
1974,Moradabad,-1
1975,Moradabad,1189.3
1976,Moradabad,858
1977,Moradabad,1358.9
1978,Moradabad,1340.7
1979,Moradabad,469.9
1980,Moradabad,759.9
1981,Moradabad,825.8
1982,Moradabad,805.6
1983,Moradabad,1077.2
1984,Moradabad,858
1985,Moradabad,968.6
1986,Moradabad,-1
1987,Moradabad,-1
1988,Moradabad,1205.9
1989,Moradabad,866
1990,Moradabad,897.3
1991,Moradabad,-1
1992,Moradabad,881.6
1993,Moradabad,776.8
1994,Moradabad,1084
1995,Moradabad,1371.5
1996,Moradabad,-1
1997,Moradabad,989.7
1998,Moradabad,1650.9
1999,Moradabad,1104.7
2000,Moradabad,227.9
2002,Moradabad,740
2004,Moradabad,904.5
2005,Moradabad,1012.5
2006,Moradabad,642
2007,Moradabad,1019.4
2008,Moradabad,935.5
2009,Moradabad,689.6
2010,Moradabad,557.5
2011,Moradabad,729.8
2012,Moradabad,655.5
2013,Moradabad,1205.7
2014,Moradabad,738.5
2015,Moradabad,912.5
1966,Shahjahanpur,715.7
1967,Shahjahanpur,828.6
